"","Id","vannlnr","vannlnr2","x","y","var1.pred","var1.var"
"612",0,2951,29516,57732.4434837073,6851704.94864275,444.358881043017,5427.11089343396
"613",0,2944,29446,51760.6760076485,6855356.26071067,460.595392003374,5385.30010262339
"614",0,1735,1735,57362.6051134885,6845302.85067074,454.026410086126,4716.14709650445
"615",0,1734,1734,41725.9058091017,6852045.61595386,499.432027354817,4002.04401613527
"616",0,2832,28322,29386.0632443903,6858819.28819043,526.474857322531,5862.08025343995
"617",0,2959,29599,37560.5541414727,6842394.67200838,532.368090934872,6831.93254680269
"618",0,1655,1655,37346.7924300457,6844249.3448151,529.43185442168,6594.43000168583
"619",0,2835,28354,-562.413484349732,6853295.82862725,601.292774998313,3832.48297244569
"620",0,2832,28325,7156.7440252943,6859776.8972812,574.608819019124,5594.94002865305
"621",0,1751,1751,21173.4605553543,6856450.76198646,553.474738877226,5843.71465502434
"622",0,2818,28187,-11643.9489695071,6877680.1456474,543.651508807437,6334.52791907851
"623",0,1165,11658,2944.8463159367,6886118.07683595,525.123692194355,6618.50069115975
"624",0,2813,28139,-25618.465334884,6880907.3931258,527.549168032397,3480.05071433587
"625",0,1774,1774,-12758.6667506193,6877090.75496427,544.439154449624,5874.36023441131
"626",0,1813,1813,-8780.76828851089,6928989.47494875,456.866309568836,4921.47521563409
"627",0,3109,31098,39754.4957586517,6906515.26670121,427.770929452848,6649.26748412331
"628",0,2928,29286,39480.5386723155,6873404.18846652,473.163185702875,2201.61498220251
"629",0,2807,28070,21397.4174541843,6884416.80248667,500.625012955372,4959.15387792758
"630",0,0,29373,41240.4514984029,6866430.29088584,478.61131172054,4371.04178014295
"631",0,2812,28120,28172.3861443315,6877325.16719206,496.677942613264,2960.70285243567
"632",0,1806,1806,79907.3694672107,6876218.49341121,367.041130602511,4928.48613096677
"633",0,3124,31244,118805.162028403,6976114.73343688,241.217550839912,6295.4950854464
"634",0,3144,31447,64428.0620830741,6953306.92135645,322.924511924505,6557.02122145033
"635",0,3107,31072,13184.0032189869,6911924.75034393,479.445212097594,4359.15699730418
"636",0,1930,1930,21815.6091347705,6923090.951113,442.49693009526,5898.4418066864
"637",0,1941,1941,39748.2748623128,6921241.03286582,408.124869194014,6122.95290369631
"638",0,3184,31843,70759.0385785163,6917362.30095486,343.176964524281,1902.76472723221
"639",0,3161,31611,101206.381585368,6936108.72981708,295.947502476876,5007.27689796199
"640",0,3187,31876,78828.4696657148,6915946.1590032,332.108730179602,2485.56980516428
"641",0,1959,1959,76420.8733890628,6900431.58053156,351.587415017148,4343.34426667674
"642",0,3149,31494,104895.744871783,6946526.87365024,280.706949213612,2207.04150852051
"643",0,1983,1983,75281.0540344463,6961050.28350432,299.147150597277,5658.27357071846
"644",0,3130,31309,59364.2698464064,6968757.58458376,311.931791874568,5836.12953085629
"645",0,3132,31323,82623.4646107627,6965369.55070759,285.543149499448,5959.3978124527
"646",0,3139,31391,141202.044140164,6951701.26061405,267.385485942036,6781.03734233656
"647",0,3159,31591,147417.833131008,6933652.54071201,297.796568253956,5974.03305870726
"648",0,3139,31398,101107.381035969,6954607.71809345,275.71776018689,3994.23795845469
"649",0,3148,31485,127896.34384138,6944225.05498592,279.609700548433,5627.34797346756
"650",0,1987,1987,126129.028719593,6925903.38989175,306.195147658595,4821.26553789094
"651",0,3121,31213,146137.849377889,6982497.60124326,211.654364388306,473.042914270901
"652",0,3451,34515,154628.685906953,6930327.68197813,300.971498434674,5662.58691977299
"653",0,3131,31312,144781.042699477,6960043.70033396,252.234049549854,6137.78124247341
"654",0,3411,34111,190695.280097076,6963614.46646125,222.648912049956,5487.11997893871
"655",0,3435,34355,175059.183489058,6942889.70634992,278.801757199476,2814.53586008023
"656",0,3427,34273,181281.99811274,6948703.08212997,269.865845763158,571.727646207458
"657",0,3664,36642,201082.057748784,7006611.86191202,156.968594963421,5851.6706394574
"658",0,3666,36668,191992.549803668,7005010.05107542,158.145826109985,5116.5400345139
"659",0,3385,33854,210156.206590599,6986447.39533924,163.746786931145,3632.33400737345
"660",0,3662,36625,197738.196105827,7007369.44558695,156.548823290458,5483.70577814233
"661",0,3402,34029,195922.616659164,6970949.13263333,201.349577698374,6069.2062029879
"662",0,3644,36440,179514.800512963,7033944.48282487,162.360795376144,5167.60257622475
"663",0,3639,36395,174379.935966278,7040110.676962,168.585896521869,6130.64934212268
"664",0,3643,36430,182186.781531631,7034814.55576715,163.000366519297,5283.28686608976
"665",0,3652,36526,149386.517385923,7024397.83173231,181.067174598594,6383.77566449936
"666",0,972,972,203892.650767736,7045421.40462199,186.689879881423,5288.04512032716
"667",0,3734,37343,218694.182442105,7045496.63914354,199.956920358905,3366.94146990601
"668",0,3736,37360,219251.90382484,7043752.29494995,197.102635557924,3852.63900199371
"669",0,3729,37299,237563.339521205,7045431.80306563,195.445805156025,5388.8690955144
"670",0,3721,37217,233130.389814424,7057728.03001342,209.571187243822,4637.75912741452
"671",0,2524,2524,238219.263412494,7039399.22612239,187.058468477866,5575.95925344455
"672",0,3726,37262,227031.988593548,7053351.52437368,210.658568545595,2461.14514003079
"673",0,3715,37153,246794.39740582,7065634.46479861,209.132565901907,6234.79077145309
"674",0,3697,36971,240419.300384525,7084820.73970497,213.29915835988,5278.21672090415
"675",0,3673,36735,266128.700453831,7103157.51988297,225.039181223753,5077.87771454914
"676",0,4175,41755,273326.988075845,7113539.90460884,231.21762500262,6035.73994804239
"677",0,4154,41542,279312.40662439,7117625.08544773,235.292553594488,5171.96195254073
