ebint,mm,tws02,tws08
103046,26,0.0,11.2486774193
103046,27,0.0,12.5293064516
103046,28,0.0,14.109483871
104113,22,0.0,11.7130806452
104113,26,0.0,13.0896612904
104113,27,0.0,14.8022419355
104113,28,0.0,15.9388548387
106200,22,0.0,11.9683387097
106200,26,0.0,12.5722741936
106200,27,0.0,14.0692580645
106200,28,0.0,16.2289516129
108458,22,0.0,12.2048064516
108458,26,0.0,12.2377741935
108458,27,0.0,13.8565161291
108458,28,0.0,16.0117419355
108696,22,0.0,14.5931451613
108696,26,0.0,16.1036935484
108696,27,0.0,16.5712741936
108696,28,0.0,17.7715806451
110967,22,0.0,14.564016129
110967,26,0.0,15.1073709678
110967,27,0.0,16.7936612903
110967,28,0.0,18.4128225807
114782,22,0.0,12.3704032258
114782,26,0.0,13.2029193548
114782,27,0.0,14.5908870968
114782,28,0.0,15.7779032258
115404,22,0.0,15.0051290322
115404,26,0.0,15.944
115404,27,0.0,17.2050645161
115404,28,0.0,18.5319677419
116761,22,0.0,7.87487096774
116761,26,0.0,8.50606451613
116761,27,0.0,10.5282741936
116761,28,0.0,12.3610806452
116892,22,0.0,0.0
116892,26,0.0,6.24082258065
116892,27,0.0,9.04548387097
116892,28,0.0,11.7016612903
117602,22,0.0,14.8388548387
117602,26,0.0,15.5621451613
117602,27,0.0,17.0200967742
117602,28,0.0,18.9319193549
119268,22,0.0,10.1766774193
119268,26,0.0,11.4218225807
119268,27,0.0,13.0536935484
119268,28,0.0,14.3762096774
120785,22,0.0,12.8105806452
120785,26,0.0,13.6845806451
120785,27,0.0,14.817016129
120785,28,0.0,16.0726129032
122518,22,0.0,14.4694516129
122518,26,0.0,15.309
122518,27,0.0,16.8176612903
122518,28,0.0,17.9019354838
122758,22,0.0,9.92358064516
122758,26,0.0,10.3963548387
122758,27,0.0,12.0812741936
122758,28,0.0,14.0481290322
125392,22,0.0,11.0329032258
125392,26,0.0,12.5424516129
125392,27,0.0,14.1679032258
125392,28,0.0,15.3562258065
128036,22,0.0,11.8814354838
128036,26,0.0,12.9132419355
128036,27,0.0,14.8585483871
128036,28,0.0,15.8518870967
129344,22,0.0,11.539967742
129344,26,0.0,13.0807419355
129344,27,0.0,14.6982580645
129344,28,0.0,15.6875967742
133012,22,0.0,11.7323709678
133012,26,0.0,13.2053709677
133012,27,0.0,14.5547580645
133012,28,0.0,15.8243870968
135315,22,0.0,12.6902741935
135315,26,0.0,12.9077419354
135315,27,0.0,14.3777419355
135315,28,0.258607142857,16.7453064517
136681,22,0.0,15.0892096774
136681,26,0.0,16.0942903225
136681,27,0.0,17.3657741936
136681,28,0.0,18.4575483871
137382,22,0.0,13.1083870967
137382,26,0.0,13.9583225807
137382,27,0.331214285714,15.1262096774
137382,28,1.5409390394,17.0760645161
138598,22,0.0,12.1463548387
138598,26,0.0,12.8346612904
138598,27,0.0,14.3628870968
138598,28,0.0,16.3264032258
143334,22,0.0,15.4270483871
143334,26,0.0,16.1675161291
143334,27,0.0,17.5824838709
143334,28,1.00158928572,19.1681290323
144098,22,0.0,12.5738870967
144098,26,0.0,13.2513870968
144098,27,0.0,14.6554193549
144098,28,0.0,16.5676612903
146801,22,0.0,0.0
146801,26,0.0,3.11275806452
146801,27,0.0,8.55080645161
146801,28,0.0,11.525
148347,22,0.0,12.0426935484
148347,26,0.0,12.821467742
148347,27,0.0,14.7507903226
148347,28,0.0,15.7502741936
149666,22,0.0,4.94214516129
149666,26,0.0,8.96066129032
149666,27,0.0,10.7757580646
149666,28,0.0,12.7753709678
155497,22,0.0,6.21635483871
155497,26,0.0,6.38374193548
155497,27,0.0,8.9345
155497,28,0.0,10.2898064516
159793,22,0.0,9.17438709677
159793,26,0.0,9.80524193549
159793,27,0.0,11.6368387097
159793,28,0.0,12.8621774194
159850,22,0.0,14.6706935484
159850,26,0.0,15.8585967742
159850,27,0.0,16.2129354839
159850,28,0.0,17.8692903226
159895,22,0.0,11.021532258
159895,26,0.0,11.0270483871
159895,27,0.0,12.7740806452
159895,28,0.0,14.4388709677
161034,22,0.0,13.2223870968
161034,26,0.0,14.2130806452
161034,27,0.0,15.453483871
161034,28,0.0,17.2445967742
162011,22,0.0,14.7044193548
162011,26,0.0,15.9052258064
162011,27,0.0,16.7825483871
162011,28,0.74467549261,18.3085322581
164137,22,0.0,0.0
164137,26,0.0,2.51740322581
164137,27,0.0,9.89469354839
164137,28,0.0,11.906516129
164176,22,0.0,12.1877903226
164176,26,0.0,13.6695967742
164176,27,0.0,14.9119032258
164176,28,0.0,16.4631290323
165559,22,0.0,10.0237419355
