"ebint","ebhex","depth","area","longitude","latitude","lonCentroid","latCentroid","lonPreData","latPreData","lonField","latField","areaPreData","areaShapefile","secchi","NVEID","NVEREGINE","SMHIID","EUCD","VDRID","COMSATID","name","date","time","altitude","lake_id"
4834503,"0x49c4c7",21,7046560,14.414092,59.772484,14.414092,59.772484,14.40965,59.77375,14.40965,59.77375,7020000,7046560,3.5,NA,"","662551-142470","SE662551-142470","662449-142558",3031,"Saxen","04.08.2011","11:50",178,NA
4764043,"0x48b18b",6,1675059,15.949833,59.7692693,15.949833,59.7692693,15.95213,59.76797,15.9521333333333,59.7679666666667,1670000,1675059,2,NA,"","662910-150724","SE662910-150724","663024-150403",3106,"Långbjörken","02.08.2011","15:55",92,NA
13978509,"0xd54b8d",26.25,19548044,15.0222832,61.1930001,15.0222832,61.1930001,14.94515,61.19408,14.94515,61.1940833333333,19500000,19548044,2,NA,"","678651-145260","SE678651-145260","676720-143363",3160,"Skattungen","31.07.2011","15:39",200,NA
136681,"0x215e9",15.75,12795527,16.3599118,60.1505673,16.3599118,60.1505673,16.38945,60.16062,16.38945,60.1606166666667,12740000,12795527,1.9,NA,"","667258-153492","SE667258-153492","672632-158939",3165,"Bäsingen","02.08.2011","17:15",67,NA
13874290,"0xd3b472",12,63672487,15.6651832,60.5328495,15.6651832,60.5328495,15.67272,60.53093,15.6727166666667,60.5309333333333,63500000,63672487,2.1,NA,"","670563-148814","SE670563-148814","670508-148714",3167,"Tisken","01.08.2011","17:05",107,NA
14490062,"0xdd19ce",25.5,2046572,13.2145095,60.8724453,13.2145095,60.8724453,13.20813,60.87842,13.2081333333333,60.8784166666667,2040000,2046572,1.05,NA,"","675024-136064","SE675024-136064","674435-137032",3185,"Stora Almsjön","31.07.2011","11:58",463,NA
4455750,"0x43fd46",5.25,1449806,13.5950572,60.9954014,13.5950572,60.9954014,13.59872,60.99265,13.5987166666667,60.99265,1440000,1449806,1.1,NA,"","676466-138128","SE676466-138128","675055-140170",3189,"Dragsjön","31.07.2011","13:27",451,NA
4538181,"0x453f45",27,3295074,14.0098128,60.1954666,14.0098128,60.1954666,14.00855,60.19463,14.00855,60.1946333333333,3290000,3295074,2.05,NA,"","667277-140244","SE667277-140244","665916-141425",3201,"Milsjön","03.08.2011","13:40",291,NA
3851794,"0x3ac612",22.5,3464499,15.2320367,59.9686573,15.2320367,59.9686573,15.23042,59.98293,15.2304166666667,59.9829333333333,3450000,3464499,2.5,NA,"","664775-146931","SE664775-146931","659438-151480",3220,"Stora Korslängen","05.08.2011","18:40",262,NA
14188433,"0xd87f91",13.5,11944109,16.0907178,60.6618672,16.0907178,60.6618672,16.07428,60.68212,16.0742833333333,60.6821166666667,11900000,11944109,3.5,NA,"","672474-151813","SE672474-151813","671602-154437",3384,"Hinsen","01.08.2011","16:10",191,NA
10219952,"0x9bf1b0",13.5,1892757,15.7664499,61.6497932,15.7664499,61.6497932,15.75923,61.65385,15.7592333333333,61.65385,1890000,1892757,5,NA,"","683650-149928","SE683650-149928","683604-149973",3397,"Storsjön","01.08.2011","13:37",355,NA
8403543,"0x803a57",13.5,3176610,15.4186072,61.5738811,15.4186072,61.5738811,15.42448,61.57602,15.4244833333333,61.5760166666667,3170000,3176610,3,NA,"","682851-147844","SE682851-147844","681475-148153",3399,"Grycken","31.07.2011","16:55",240,NA
6808554,"0x67e3ea",12,50861687,15.3209663,62.4392017,15.3209663,62.4392017,15.31322,62.41027,15.3132166666667,62.4102666666667,50730000,50861687,3,NA,"","692346-148199","SE692346-148199","691085-158191",3516,"Holmsjön","01.08.2011","11:51",244,NA
2684521,"0x28f669",10.5,3049332,15.9720198,62.2662177,15.9720198,62.2662177,15.97102,62.2666,15.9710166666667,62.2666,3040000,3049332,2.5,NA,"","690492-151080","SE690492-151080","690166-151399",3541,"Stornaggen","01.08.2011","10:44",357,NA
794637,"0xc200d",21,1980891,16.2670138,58.9530455,16.2670138,58.9530455,16.26353,58.9535,16.2635333333333,58.9535,1870000,1980891,1.9,NA,"","653651-152831","SE653651-152831","651426-157020",5000,"Forsjösjön","02.08.2011","10:00",27,NA
161034,"0x2750a",30,33017033,11.0719323,60.3423601,11.0719323,60.3423601,11.04077,60.37648,11.0407666666667,60.3764833333333,32810000,33017033,6.5,141,"002.DAB1","","","",10000,"Hurdalsjøen","12.08.2011","11:05",176,NA
99411,"0x18453",19.5,1989437,10.7146205,60.1863747,10.7146205,60.1863747,10.71212,60.19323,10.7121166666667,60.1932333333333,1980000,1989437,4.5,116,"002.CF0","","","",10001,"Harestuvatnet","12.08.2011","13:10",234,NA
