,22,26,27,28,sequence,sequence2
581741,4,5,5,5,4555,45
584402,4,5,5,4,4554,44
593179,3,4,4,4,3444,34
593863,4,5,4,5,4545,45
596406,4,4,4,7,4447,47
601449,3,5,4,4,3544,34
603032,5,5,5,5,5555,55
604326,1,3,4,5,1345,15
608501,5,5,5,5,5555,55
610901,4,4,5,5,4455,45
612247,5,4,4,4,5444,54
612428,4,5,5,5,4555,45
614858,4,5,5,5,4555,45
615173,4,4,4,5,4445,45
619791,4,4,4,4,4444,44
620430,5,5,5,5,5555,55
620785,4,4,4,4,4444,44
621034,5,5,5,5,5555,55
622791,4,4,4,7,4447,47
623616,5,5,5,5,5555,55
625217,4,4,5,5,4455,45
625526,1,5,4,5,1545,15
627445,5,4,5,5,5455,55
630681,4,4,5,4,4454,44
631729,5,5,5,5,5555,55
633127,4,4,4,5,4445,45
634487,5,5,5,5,5555,55
636100,5,4,4,4,5444,54
639124,5,5,5,5,5555,55
640120,4,4,5,5,4455,45
641955,4,5,5,5,4555,45
642371,4,5,4,5,4545,45
647847,5,5,5,5,5555,55
648415,3,3,4,4,3344,34
650935,1,1,1,3,1113,13
651254,4,4,4,4,4444,44
651502,5,5,4,4,5544,54
652787,5,5,5,4,5554,54
659320,5,5,5,4,5554,54
659707,5,5,4,4,5544,54
664682,5,5,5,5,5555,55
669109,5,5,5,5,5555,55
669964,5,5,5,5,5555,55
670229,4,4,4,5,4445,45
671944,5,5,4,4,5544,54
674249,4,4,4,4,4444,44
676649,5,5,5,5,5555,55
679286,1,3,4,4,1344,14
679670,5,4,4,4,5444,54
680239,5,5,5,5,5555,55
680335,4,4,5,5,4455,45
684710,4,4,5,4,4454,44
687712,4,5,5,5,4555,45
687857,4,5,4,5,4545,45
687877,4,5,4,5,4545,45
689217,4,5,5,5,4555,45
689676,5,4,4,5,5445,55
689958,5,5,5,4,5554,54
691499,5,5,5,5,5555,55
693489,4,4,4,4,4444,44
697033,5,5,5,5,5555,55
698189,4,4,4,4,4444,44
699884,5,5,5,5,5555,55
700620,4,5,4,4,4544,44
705806,4,4,5,5,4455,45
707570,5,4,4,4,5444,54
