ebint,clust30,clust30a,longitude,latitude,maxdepth,area
11335160.0,1.0,1.0,27.6525724359,71.0788864826,15.1523315266,114619.089439
9052968.0,1.0,1.0,25.3423779371,70.7273598951,14.7324873907,68264.3482848
16127928.0,1.0,1.0,27.9939306466,70.963127468,14.7340113328,36253.2611548
15877779.0,1.0,9.0,23.7900504164,70.6411671338,23.0041638453,631055.937152
3354352.0,1.0,1.0,27.4773925489,70.1251335058,8.37903612591,46579.0830755
13840919.0,1.0,9.0,23.5976286864,70.4918777085,9.4084951992,21405.3645905
8391571.0,1.0,1.0,24.7125790277,70.7088538365,8.72575423524,10670.173094
7805625.0,1.0,1.0,27.7434171793,70.3999163973,9.88061227879,14285.7415776
9629338.0,9.0,19.0,7.0250279062,58.5798837687,16.5178127843,315080.895699
15066656.0,3.0,7.0,8.71511712301,58.984358521,11.572361269,134416.910287
2075394.0,9.0,19.0,6.62284353025,58.4463707658,20.8579205172,25126.0326776
4065707.0,8.0,24.0,8.5402290179,60.5712658948,19.6075827308,641828.538645
4329884.0,3.0,24.0,8.18915349585,60.0598137699,24.2219545371,1027358.66986
5622806.0,3.0,7.0,9.63559299931,59.434000434,14.2123845871,18663.8682849
16507595.0,9.0,19.0,5.91042244177,58.542364067,22.1705699477,292913.642763
8718762.0,9.0,19.0,7.33980411864,58.7384469866,17.4521899043,266248.969899
11939980.0,9.0,19.0,6.37038599198,58.7832645962,19.9642129113,50460.3068729
10321270.0,9.0,19.0,6.84889377061,58.7893715019,33.6762251587,711258.928822
10262558.0,10.0,2.0,11.7624890659,59.7742284539,19.6122417393,520733.136698
15591989.0,8.0,24.0,8.9605379189,60.4747224537,13.2264064533,13242.8817762
4321838.0,23.0,24.0,7.90768192933,60.460183247,7.66033782929,11728.5531236
15970952.0,8.0,24.0,8.18244695369,60.5728819509,14.127890417,323910.748147
9790971.0,23.0,27.0,5.37019426023,59.8258924935,19.5826382375,63025.402056
9848930.0,4.0,23.0,16.82765909,67.9545619206,16.4806392664,427675.074632
2399022.0,8.0,16.0,10.0150083748,60.1398033771,18.3844314214,85689.5287277
9048364.0,23.0,27.0,6.15538691239,59.9462645139,23.3689192755,83300.4290489
5172649.0,23.0,27.0,7.17942692078,59.8801674621,24.4607987074,171427.114182
2800532.0,27.0,22.0,8.0080996276,62.4920467143,14.7865810253,16481.7974678
12504297.0,3.0,7.0,9.29180362946,60.1370090894,18.3685800409,146644.498837
12773602.0,8.0,16.0,10.8112289033,60.175896781,17.7103530532,353737.140215
4784514.0,23.0,27.0,5.40231215847,59.9148837231,27.3609781154,276526.189205
12999995.0,27.0,22.0,9.73109105424,63.5216795525,9.86801994401,10921.0364088
7497601.0,8.0,24.0,9.32245713304,60.1727392565,21.7067184766,172382.396379
9176100.0,23.0,27.0,7.27878028221,60.0832623029,11.1384569271,135046.048764
13575757.0,23.0,24.0,7.59512932289,60.2548280786,7.69452877127,98164.1420908
7727054.0,7.0,6.0,12.6851171811,64.8256067068,9.64370061475,12164.9674272
8794808.0,8.0,24.0,7.91845780898,60.8952335698,17.7403559966,340729.005871
15550230.0,23.0,24.0,7.37990899641,60.7316387969,32.687998263,1146164.18339
6559578.0,23.0,24.0,7.65556968857,60.7677783325,13.2319932315,29150.5817394
12629095.0,23.0,27.0,5.84650569648,60.6934222399,50.9308626317,385640.092154
7427213.0,29.0,21.0,6.49255800751,61.0073354434,8.30825787144,59062.2721018
12850288.0,8.0,16.0,10.61150345,61.1967396291,17.0173945356,590812.39239
15788393.0,29.0,21.0,4.98801142401,61.1639806737,16.0883297778,48240.1559501
1506378.0,29.0,24.0,8.10586804606,61.1918025542,9.92748976292,43451.122218
11348064.0,29.0,21.0,7.7511781397,62.1685467382,18.9678134984,205469.133562
11497793.0,29.0,21.0,4.69047805004,61.0538218338,17.1614021008,113632.694527
11166771.0,29.0,24.0,7.87415973824,61.2007819677,22.2452542434,60983.5804954
7170530.0,29.0,24.0,8.28970017424,61.4948294957,17.4213213696,92597.5804
4284091.0,27.0,22.0,7.6335438455,62.6077148606,19.0662331816,387015.894744
6199545.0,29.0,21.0,6.33521722746,61.2796023746,39.8091553346,209617.632154
2517741.0,21.0,30.0,11.9996547194,62.6683888697,9.24800239757,17747.9362694
15791027.0,27.0,22.0,9.04319472172,62.2735838598,19.161466221,484507.192427
12767223.0,29.0,21.0,5.33695713335,61.4352718695,42.3152142596,1089577.16649
16059846.0,25.0,5.0,15.9851687225,58.1540869587,19.1066229433,2590466.99086
8498999.0,29.0,21.0,7.40834057809,62.1449563763,24.1816579467,59636.4614281
571464.0,27.0,22.0,8.90495216973,63.2412554631,23.3563283876,841345.768375
4929611.0,21.0,30.0,12.1600724182,63.0272953334,21.134207558,208056.823426
2038363.0,27.0,22.0,8.55226327744,62.602923863,16.9321702543,221701.586509
8555455.0,27.0,22.0,8.92799137864,63.2617687019,14.0293714746,30769.944273
7358301.0,7.0,6.0,10.8894905112,64.4374803772,28.7752381784,262742.228157
15921265.0,17.0,20.0,11.9868034939,65.655418486,8.75766711349,75972.5602255
12529872.0,7.0,6.0,13.4641670456,64.5175936636,16.3228849811,561021.456442
9124272.0,15.0,10.0,20.9902185364,68.8950906659,12.1189942924,942813.482485
13990602.0,25.0,11.0,14.6056219653,59.1750203949,19.8574776952,4033308.03519
13235007.0,17.0,20.0,13.3979479796,66.1704674152,31.3244297928,75758.3861006
15042959.0,5.0,26.0,15.8337255158,67.2606662245,62.9087084178,1422946.49119
1619827.0,5.0,26.0,15.9362935575,67.4793333649,18.6857867996,58148.2085385
8974675.0,15.0,10.0,20.9172776344,69.2949758055,16.1609570314,137410.55791
10566853.0,4.0,23.0,14.2968820622,68.2377579075,15.6628402144,327975.448272
4084194.0,4.0,23.0,17.927371545,68.511974774,14.9681521084,25454.2145822
85460.0,14.0,8.0,23.5056788379,68.748624251,8.66352105397,263352.726343
503271.0,4.0,23.0,16.9569323721,68.686798174,16.5726021727,230434.931378
1788136.0,15.0,10.0,19.9216031912,68.7976949707,7.87316461784,26749.0105481
5372943.0,15.0,10.0,20.0406279221,68.9945074033,28.8703040634,529915.242256
14576371.0,4.0,23.0,17.1113557567,69.061800442,9.66973773919,16201.7650239
