sim_id,y,tsw00,tsw01,tsw02,tsw03,tsw04,tsw05,tsw06,tsw07,tsw08,tsw09,tsw10,tsw11,tsw12,pcd00,pcd01,pcd02,pcd03,pcd04,pcd05,pcd06,pcd07,pcd08,pcd09,pcd10,pcd11,pcd12,pcn00,pcn01,pcn02,pcn03,pcn04,pcn05,pcn06,pcn07,pcn08,pcn09,pcn10,pcn11,pcn12,icend,icemh,icedu,iceon,iceof,iceth,ebint
449420448,4.5,4.413658011,0,0,0,0,0.822735484,8.522586667,12.39730323,12.03200968,10.76071667,6.808558065,1.582576667,0.037409677,22.54910954,25,25,25,25,25,16.60218007,10.44123173,19.13433513,24.4115676,25,25,25,4.841666667,0,0,0,0,0,13.6,27.2,16.2,1.1,0,0,0,184.8,0.6821,184.8,325,144.6,0,9420448
449455305,4.5,7.003260362,0.813487097,0.808939286,1.365374194,3.696986667,7.983309677,13.13777,14.59477097,13.88406129,12.22566667,8.426090323,4.938513333,2.164154839,32.6769769,37,37,37,37,30.12151278,16.22845852,19.10523279,30.79518543,36.87333333,37,37,37,4.775,0,0,0,0,7.1,22.1,20.4,7.5,0.2,0,0,0,42.6,0.1728,65.2,349.3333333,55.7,1.3,9455305
449491003,4.5,6.421925643,0.249116129,0.134196429,0.340541935,2.309376667,7.550022581,13.27360333,14.49918387,13.54478387,11.88914667,8.03466129,4.138123333,1.100351613,35.04046619,42,42,42,42,30.75007336,12.89754921,15.05749009,26.76411069,41.01637099,42,42,42,7.025,0,0,0,0,10.1,26.2,28.5,18.2,1.3,0,0,0,99.8,0.2718,110.1,347.9,92.8,0.9,9491003
449561357,4.5,5.007376613,0,0,0,0,1.414725806,11.70431,15.02369677,13.67077419,11.33730667,6.235545161,0.693383333,0.008777419,13.85192607,16,16,16,16,15.39288549,7.046855596,6.73186892,10.07459986,14.97690302,16,16,16,7.858333333,0,0,0,0,1.7,24.3,31,29.6,7.7,0,0,0,195.8,0.6899,195.8,313,143.6,0,9561357
449879973,4.5,5.435310125,0,0,0,0,2.369932258,12.94833667,15.50679677,14.11029032,11.79519,7.017116129,1.41884,0.057219355,14.3971616,17,17,17,17,15.96016635,6.331391209,6.667361743,9.580580536,15.22643938,17,17,17,8.483333333,0,0,0,0,2.5,26.3,31,31,11,0,0,0,182.5,0.658,185.7,317.6,138.1,0.1,9879973
450563534,4.5,7.013283952,0,0,0.033280645,1.052446667,7.345419355,13.99535667,16.19816774,15.67135806,13.87792667,9.629167742,5.2133,1.142983871,19.21619586,23,23,23,23,16.42632597,8.676195873,9.361633082,13.67536122,21.45483419,23,23,23,9.15,0,0,0,0,12.6,28.8,30.8,30.2,7.4,0,0,0,124.9,0.3842,124.9,349.6,109.3,0,10563534
451524147,4.5,5.237869507,0,0,0,0,3.071029032,13.69603667,15.3248,13.65609032,10.93952667,5.695409677,0.458693333,0.012848387,11.65093964,14,14,14,14,12.30172156,4.436171594,5.378726074,7.547841421,12.146815,14,14,14,9.325,0,0,0,0,5,29.3,31,31,15.6,0,0,0,191.5,0.6467,191.9,310.2,136.9,0.1,11524147
451638293,4.5,2.78121836,0,0,0,0,0,3.343783333,9.78603871,9.686474194,7.793323333,2.749077419,0.015923333,0,27.12905322,29,29,29,29,29,24.44953935,16.1052588,24.05050711,28.94333333,29,29,29,2.833333333,0,0,0,0,0,5.4,19.3,9.2,0.1,0,0,0,235.5,1.0427,235.5,297.9,168.2,0,11638293
452413109,4.5,7.117177005,0.304354839,0.304396429,0.380258065,2.20704,8.019422581,14.89358333,16.54180968,15.34479355,13.37625333,8.695809677,4.34518,0.993222581,29.78013649,37,37,37,36.88666667,24.44603728,9.468850081,10.71354455,20.28029833,33.56624094,37,37,37,8.825,0,0,0,0.1,13.2,28.1,31,26.6,6.9,0,0,0,98.7,0.3741,112.5,345.8,93.1,0.8,12413109
452521190,4.5,6.881121228,0,0,0,1.366206667,7.297609677,14.16945333,16.14763226,15.22048065,13.53782333,9.237380645,4.768713333,0.828154839,23.44590058,28,28,28,28,21.41692454,9.398375165,10.36817302,17.81539602,26.3519382,28,28,28,8.5,0,0,0,0,10.2,27.5,31,26.7,6.6,0,0,0,127,0.3981,127,346,107.8,0,12521190
