id,lakename,p1_default,p2_default,p1_min_rmsd,p2_min_rmsd,p1_min_abs_bias,p2_min_abs_bias,min_rmsd,min_abs_bias
2252,Rotnessjøen,0.00740906735882,0.278916269541,0.013336321339,0.0697290673852,0.00296362699009,0.188150122762,1.22345173359,0.0148750003427
363,Rømsjøen,0.0305250994861,0.983394145966,0.0213675703853,0.245848536491,0.027472589165,0.561637997627,0.896468579769,0.00842857174575
380,Kyllesvatn/Lutsivatn,0.0126416888088,0.57215744257,0.0176983643323,0.182513043284,0.0063208444044,0.300934106112,0.450719833374,0.00206666672602
436,Tveitevatnet/Grungevatnet,0.00924981664866,0.384918183088,0.0184996332973,0.0962295457721,0.00184996321332,0.135703235865,1.69524037838,0.000920000020415
261,Kalandsvatnet,0.0139404712245,0.636145055294,0.0125464238226,0.159036263824,0.00697023561224,0.316931009293,0.764099180698,0.00333333341405
264,Myrkdalsvatnet,0.0090563762933,0.373746484518,0.0181127525866,0.0934366211295,0.00181127537508,0.132910296321,1.80907988548,0.00260869576596
487,Hallevatnet,0.0146000422537,0.666462481022,0.00730002112687,0.166615620255,0.00146000424866,0.166615620255,1.19340765476,0.102224998176
486,Goksjø,0.0140098305419,0.639405071735,0.0224157292396,0.159851267934,0.00700491527095,0.317746013403,1.04532015324,0.0215333327651
3167,Runn,0.0721702128649,1.0,0.00721702119336,0.25,0.00721702119336,0.25,0.821247220039,0.615999996662
482,Bergsvannet,0.0130858495831,0.594648241997,0.00261717010289,0.188135743141,0.00130858505145,0.148662060499,1.11352956295,0.00118181819562
481,Åsrumvatnet,0.00759751256555,0.289651781321,0.0144352735952,0.269781380892,0.00531825888902,0.309255063534,1.8898537159,0.015666667372
3541,Stornaggen,0.0131587283686,0.598280012608,0.00394761841744,0.149570003152,0.00131587276701,0.149570003152,1.79680550098,0.972285687923
3019,Møckeln,0.0356141142547,0.995469868183,0.0462983474135,0.56465691328,0.0249298810959,0.485709577799,0.664997756481,0.00695454562083
2899,Jangen,0.0164113212377,0.741536319256,0.00328226434067,0.185384079814,0.00164113217033,0.185384079814,2.5751478672,1.75300002098
3397,Storsjøn,0.0100837787613,0.432775437832,0.0121005345136,0.108193859458,0.00201675575227,0.1476675421,1.53267145157,0.024444444105
3201,Milsjøn,0.013754170388,0.627306878567,0.0123787531629,0.235774099827,0.00412625120953,0.235774099827,1.24122369289,0.00505882361904
2268,Mylla,0.00947155430913,0.397700220346,0.0170487985015,0.849425077438,0.0189431086183,0.849425077438,0.555632948875,0.00178571429569
3399,Grycken,0.0134709393606,0.613645553589,0.0107767516747,0.153411388397,0.00134709395934,0.153411388397,1.46056103706,0.0443333350122
2312,Femsjøen,0.0265673808753,0.959156215191,0.0185971669853,0.397683769464,0.0106269521639,0.358210086823,0.591700851917,0.019666666165
3220,NorraBredsjøn,0.01412483491,0.644773602486,0.00423745065928,0.161193400621,0.00141248351429,0.161193400621,2.31266283989,0.120846152306
519,Tærnan,0.00845545530319,0.338999062777,0.00253663654439,0.163697123528,0.00169109099079,0.124223448336,0.754302680492,0.0285714287311
378,Hetlandsvatn,0.0105820633471,0.460978597403,0.0158730950207,0.115244649351,0.00105820631143,0.115244649351,0.93567186594,0.000433333334513
233,Osensjøen,0.0584978833795,0.999997913837,0.116995766759,0.249999478459,0.0526480972767,0.565788984299,1.49217331409,0.00755813950673
2374,Frøsjøn,0.0256189536303,0.950063347816,0.00768568599597,0.237515836954,0.00256189517677,0.237515836954,0.551099479198,0.0243749991059
2678,Torrsjøn,0.0096892863512,0.410216629505,0.0048446431756,0.102554157376,0.000968928623479,0.102554157376,1.38288617134,0.048772726208
361,Rødnessjøen,0.0332928262651,0.991645872593,0.00998784881085,0.800543069839,0.00332928285934,0.247911468148,1.52480483055,0.00131578953005
2888,Halsjøn,0.017734926194,0.788599312305,0.0195084176958,0.197149828076,0.0124144479632,0.433991938829,1.37732350826,0.00254545453936
3031,Saxen,0.021025845781,0.878276109695,0.00420516915619,0.219569027424,0.0021025845781,0.219569027424,2.40676474571,0.459928572178
