,name,provider_name,eb_int,station_id,n_total,n_depths,n_dates,min_date,max_date,bathymetric_data
141,Skattungen,COMSAT,13978509,0,496,496,1,2011-07-31,2011-07-31,0
142,Hinsen,COMSAT,14188433,0,261,261,1,2011-08-01,2011-08-01,0
143,Stora Almsjön,COMSAT,14490062,0,585,584,1,2011-07-31,2011-07-31,0
144,Øgderen,COMSAT,14517017,0,353,353,1,2011-07-29,2011-07-29,1
145,Hinøgla ndf. Øvre Heimdalsvatnet,NVE,14529034,0,10606,1,10606,1984-09-27,2013-10-10,0
146,Reinsnosvatnet,NVE,14681240,1,914,346,40,1994-03-10,2014-08-13,0
147,Lutsivatn,COMSAT,14847492,0,1219,1219,1,2011-07-21,2011-07-21,0
148,Dagarn,COMSAT,14908440,0,207,207,1,2011-08-05,2011-08-05,0
149,Sjoa ndf. Gjende,NVE,14946672,0,6734,1,6734,1995-09-22,2014-02-27,1
150,Gjende,NVE,14946672,2,1026,397,41,1994-03-08,2014-08-14,1
151,Vorma ndf. Mjøsa,NVE,15025169,0,11660,1,11660,1982-05-07,2014-04-08,1
152,Mjøsa,NVE,15025169,2,463,240,19,2005-09-05,2014-08-15,1
153,Mjøsa,NVE,15025169,3,975,211,39,1994-03-06,2014-08-15,1
154,Kobbelva ndf. Kobbvatnet,NVE,15157244,0,11200,1,11200,1983-04-07,2013-12-04,0
155,Bandak,COMSAT,15215690,0,2041,1977,1,2011-07-27,2011-07-27,0
156,Åsrumvatnet,COMSAT,15314839,0,922,844,1,2011-07-26,2011-07-26,0
157,Sæbufjorden,COMSAT,15417701,0,858,858,1,2011-08-16,2011-08-16,0
158,Einavatnet,COMSAT,15443601,0,1103,1103,1,2011-08-10,2011-08-10,1
159,Høysjøen,NINA,15455774,0,238,1,119,2008-06-19,2008-10-15,0
160,Storvatnet,NVE,15619559,1,711,290,38,1995-04-03,2014-08-21,0
161,Vatnevatnet,COMSAT,15760151,0,1365,1365,1,2011-07-20,2011-07-20,1
162,Hornindalsvatnet,NVE,16071454,1,988,130,39,1994-03-22,2014-08-13,0
163,Loelva ndf. Lovatnet,NVE,16177310,0,9996,1,9996,1985-12-04,2013-04-16,0
164,Lovatnet,NVE,16177310,2,981,201,39,1994-03-21,2014-08-13,0
165,Altevatnet,NVE,16261496,1,565,242,23,1998-05-03,2012-04-09,1
166,Otta ndf. Vågåvatnet,NVE,16288895,0,7611,1,7611,1992-12-01,2013-10-02,0
167,Vågåvatnet,NVE,16288895,2,881,293,42,1994-03-10,2014-08-13,0
168,Jonsvatnet,NVE,16443597,1,986,352,37,1996-04-12,2014-08-28,1
169,Myrkdalsvatnet,COMSAT,16485957,0,1734,1734,1,2011-07-22,2011-07-22,0
170,Nätsjön,COMSAT,16548800,0,737,737,1,2011-08-03,2011-08-03,0
171,Dragavatn,NINA,16599430,0,199,1,199,2008-10-07,2009-04-23,0
