,id170,id180,id189,id191,id214,id233,id236,id242,id252,id258,id261,id264,id277,id285,id288,id326,id328,id339,id340,id344,id345,id349,id353,id361,id363,id374,id378,id380,id394,id395,id404,id405,id433,id436,id453,id481,id482,id486,id487,id498,id519,id2252,id2268,id2312,id2374,id2678,id2870,id2872,id2875,id2878,id2887,id2888,id2899,id3017,id3019,id3020,id3025,id3027,id3029,id3031,id3106,id3160,id3165,id3167,id3185,id3189,id3201,id3220,id3384,id3397,id3399,id3516,id3541,id5000,id10000,id10001
2011-10-25,3.33855891,3.71965098,2.15375566,3.31998515,2.11155772,1.90704584,2.01315379,2.09056854,2.32555151,3.46571755,4.83275461,4.30436945,4.12021542,5.26537657,3.16904378,2.29836488,2.20900321,1.96347415,2.28043938,2.28043938,2.24596214,3.02764153,4.68756247,3.96254826,3.88782787,9.87367153,9.82538319,10.56322002,7.87279844,10.53807068,4.73069048,3.57844281,3.59391475,5.04162693,4.12678003,3.87856293,2.84922099,3.87856293,6.0275445,2.12477612,2.30328798,2.6633637,2.80403972,4.69302559,3.35851479,5.08662319,3.83916354,4.98144865,3.19304347,1.95960152,2.38744807,1.93545592,2.86017704,3.40429425,3.78488898,2.78120804,3.78945947,3.21819997,3.21819997,3.88926959,2.04244256,2.2452537999999995,1.83061588,2.4077127000000003,2.1682651,2.01546121,2.812011,2.71352601,1.98835707,2.90419579,2.73853946,2.78707504,2.76264644,3.3162148,2.51263928,2.84211087
2011-10-26,4.80862617,5.55544281,2.99861407,4.27220106,4.28049755,4.4964757,3.66636539,4.15108299,4.74494171,4.1001935,5.41856194,4.57397223,4.07186747,6.06814957,3.59715748,4.20249557,3.44264889,3.49341702,4.22564411,4.22564411,3.67134595,4.26702547,5.78256464,5.49025726,5.54046488,7.46856117,7.96244764,8.18143272,7.01062822,8.62448215,5.09000349,3.56181407,3.91583824,5.47970057,4.50513697,4.5722394,3.62907004,4.5722394,7.19815445,4.15114117,5.0625968,5.09323072,4.52235937,5.92763376,5.49696159,5.81635618,5.32706404,6.33078384,5.18019867,4.26893854,5.30390692,4.23624992,4.75094604,5.69430017,5.77694559,4.77471781,6.12334251,5.30008364,5.30008364,6.20936394,4.20724869,3.02461338,3.85851741,4.61993742,4.73768759,4.75492716,4.83102655,4.59838724,3.65391469,2.93939686,3.42586231,3.6635735,3.89710975,5.1704812,4.05722618,4.20264673
2011-10-27,3.30123806,2.8830986000000003,2.67620373,3.62932515,2.80706906,3.02337575,2.44889426,3.13401723,2.51723528,3.86115909,6.17090273,3.62188268,3.32143569,5.94319296,3.7171402000000002,3.42997861,2.88925552,2.67236686,3.47800541,3.47800541,3.11057973,3.0085485,2.74620271,2.58299494,2.67777944,6.39891863,6.62281227,7.09344625,6.30785751,7.68542337,4.14135408,2.89195132,2.64527702,4.28681421,3.66766143,3.16550136,2.8933785,3.16550136,4.89403152,1.78049099,2.59089184,2.74654126,3.42968106,2.91826177,2.40164304,2.63675284,2.37345243,2.94206905,2.07932711,2.52070189,2.91779137,2.71467876,2.17928052,2.00857854,1.93007481,1.9023608,2.17843413,1.95076942,1.95076942,2.30561948,1.69464779,2.28800249,2.01507592,2.50368023,2.51838779,2.61267424,2.23294592,2.05243087,1.92953157,2.51746726,2.51231027,3.62130427,3.27654147,1.96444607,3.25717735,2.84028697
2011-10-28,3.94489789,3.98096919,2.72044849,4.25768518,3.98345852,3.80437565,3.26108479,3.51442742,3.68688583,3.78294945,5.47991037,3.77496171,5.14774084,5.98751307,3.89561081,4.3850522000000005,3.4827527999999996,3.27244687,3.66381526,3.66381526,3.919204,3.52023816,4.19007397,3.80555439,3.99692321,3.76272678,4.94993448,4.66425085,4.43866777,5.7156167,4.07821941,3.01385212,2.94043326,4.61853933,3.85569096,4.13380051,3.57127833,4.13380051,5.86250162,3.81466985,4.05420542,3.92369342,3.69741035,4.21143961,4.08289194,4.29006195,4.2764926,4.47783136,4.02111101,3.64327431,4.45055723,3.88366914,3.67846012,4.30142832,4.11981058,3.99139476,4.52427769,4.13419008,4.13419008,4.69843054,3.61755633,3.8616631,3.8383894,4.42504644,4.00032473,4.54953432,4.00775385,4.11123323,3.72245145,3.75201511,3.9496491000000002,4.53979588,4.25373602,3.63933635,4.30113363,3.7077712999999997
2011-10-29,3.82270932,3.85866904,1.44942856,3.51378369,3.11808372,2.69540882,1.88050449,1.53958547,3.03554177,4.4278512,7.47081137,3.37480521,6.19278526,8.06556892,5.49076891,4.44600964,2.93084836,2.00289464,2.29513717,2.29513717,3.85104585,2.69112611,3.89817071,3.40153337,3.73941445,5.84350443,6.24991035,6.6219573,6.94482994,7.47433043,4.43792868,3.10445189,1.78257382,2.46182299,2.19293118,3.44527435,2.97055817,3.44527435,4.98668861,3.56173801,3.47228169,3.14591503,3.22286224,3.99062371,3.27993584,3.66806221,2.81180787,4.08081579,3.20574665,2.94932723,3.92204309,3.0353117000000003,2.59797978,3.83926177,3.40528464,3.41334081,3.98851204,3.40599465,3.40599465,3.95314813,3.16010118,4.1017375,3.81111789,3.8404007000000004,3.68940425,4.78009129,3.52571511,3.93590617,3.95286918,4.04252863,3.80238247,3.53242373,3.46408248,2.82667136,3.45498204,3.42903137
2011-10-30,4.4349761,4.77983284,2.26288843,4.63293076,3.80608463,3.29559398,2.76344872,2.70248532,3.75826573,3.990098,5.35726976,3.37901092,4.98062944,5.43947935,3.59711361,4.86683035,3.57404613,2.88411069,2.91933441,2.91933441,4.36768484,3.61142445,5.38957167,4.68192101,4.70387888,3.55750823,5.123130799999999,4.45807028,4.32486582,5.83169127,3.72317195,2.79140162,2.58305621,3.6604165999999996,3.02700067,5.08625317,3.87525201,5.08625317,6.7533226,4.43467665,4.69145727,3.86265564,3.73088574,5.59493685,4.58801794,5.30366516,4.29679489,5.63399553,4.30824471,3.60002899,4.70936298,3.633775,3.73263144,4.89574099,4.78885317,4.49122047,5.14124918,4.55560923,4.55560923,5.16381407,4.17342901,4.45331621,4.52362776,4.70677805,4.4153986,5.21023417,4.58293676,4.77406263,4.76457548,4.47136784,4.47367144,3.96746516,4.07695436,4.15108204,4.45804691,4.02574205
2011-10-31,2.55479455,2.77096438,1.10352397,2.48834324,1.6057483000000001,1.34008825,1.05578506,1.00519693,1.65507603,3.02344418,5.85811281,2.2120235,4.46427298,6.13425636,4.07862616,2.51479745,1.43229389,1.19293928,1.54498959,1.54498959,2.0120225,2.04583526,3.48927951,2.72652149,2.72925186,4.64188194,4.31049538,5.095541000000001,5.38836527,5.3308568,3.51455784,2.3157412999999996,1.41663134,2.20848584,1.86456966,2.83826733,2.12014127,2.83826733,3.47909355,2.75467372,3.22685218,1.66850424,1.91867387,3.46918678,3.24036217,3.36985207,1.8560704,3.46495438,2.37883186,1.53984988,2.34393573,1.43251169,1.54939556,3.19966006,3.31214929,2.76040077,3.29438615,2.65996099,2.65996099,3.16735435,2.68699074,2.44032288,2.70785046,2.47010589,2.33329105,2.90807796,2.42030525,3.02224755,2.80533624,2.72647405,2.18445468,2.54583001,2.55418181,3.08123016,2.48202395,2.43694019
2011-11-01,4.60364342,4.28562498,2.4691092999999995,4.3119607,3.68276095,3.61051941,2.44165635,2.83145308,3.54021382,4.22909975,6.49620008,3.87689137,4.71119738,6.12012815,4.28105116,4.88298702,3.44579887,2.59546065,3.21414542,3.21414542,4.35186148,3.81485558,4.17761087,3.87882686,4.01891708,5.98186255,5.92232847,6.59600019,6.21957588,7.10338593,4.19443369,2.78130269,2.58764362,3.33254647,3.0284902999999996,4.23075771,3.33557296,4.23075771,5.68023157,3.69149303,3.58747315,3.85186458,4.10057878,4.53489733,3.4013834000000003,3.91998458,3.6086483,4.1855092,3.92114615,3.59363556,4.61467457,3.7867352999999997,3.41819,3.97869372,3.69748998,3.90401196,4.16849184,4.01950026,4.01950026,4.39945793,3.45783615,4.58464241,3.86242938,4.00029945,4.24338961,4.85303164,4.25214672,4.11504507,4.42926073,4.61823797,4.59469271,4.46981668,4.45759821,3.19244742,4.38191748,3.98245835
2011-11-02,3.66483021,3.47972322,1.55332243,3.37418818,3.01557636,2.89974618,2.148911,2.23945761,2.9471817000000002,2.02873445,3.70367622,2.31568313,3.46883965,4.82062197,3.18521786,3.53511262,2.51197839,1.80996692,1.76814687,1.76814687,3.20376515,2.97084975,3.21195865,3.08921909,3.19582438,3.39867115,2.95551133,3.68025947,3.35852885,3.64269829,3.20095348,2.06823492,1.47139168,1.67526329,1.26002157,3.5268364,2.41588736,3.5268364,4.67412233,2.92063785,2.95401597,3.05432582,2.76616788,3.53594518,2.43814635,2.99848819,2.88465023,3.327811,3.10485744,2.97741222,3.51984406,3.10898519,2.92292428,3.17671967,2.75663924,3.15297627,3.32550693,3.26461577,3.26461577,3.52282357,2.66855788,3.51642632,3.09703565,3.2272532000000003,3.13493657,3.61402392,3.44135547,3.26031613,3.5093410000000005,3.43540287,3.4115808,2.90731788,3.01521134,1.99348867,3.21602273,2.80956268
2011-11-03,2.53388643,2.66721988,1.96456242,2.68315983,2.16760993,2.21372032,1.77611005,2.39892769,2.10246563,2.83617139,4.17588949,3.58261275,3.07493329,4.33868694,2.62016225,2.3562807999999995,1.90990818,2.13072705,2.58664465,2.58664465,1.95116436,2.57283592,3.0238831000000004,2.77407551,2.76834989,7.50812769,7.08370256,7.8302083,5.67923546,7.71340895,3.8494574999999998,2.7298851,2.71425128,4.03279352,3.47663093,2.94526029,2.4978807,2.94526029,4.87112427,2.22675681,1.97246933,2.34311748,2.63319063,2.77796364,2.65885568,3.45322728,2.80033517,3.33735204,2.60894728,1.9293083,2.5256176,2.07510495,2.24958396,2.87922311,2.93925357,2.58413815,3.01288986,2.69248199,2.69248199,3.03954983,2.11183476,2.24050856,2.03622961,2.4560504,2.26436424,2.44563675,2.3485949,2.57904315,2.11059761,2.04455829,2.1706388,2.43277001,2.47814918,2.6988337000000002,2.77852225,2.64772058
2011-11-04,2.76421666,3.3484447,1.48785973,2.40015769,2.4433198,2.47658706,2.08891988,2.58631873,2.55136037,3.51827645,5.03258419,4.14871788,3.86899495,5.51949883,3.25873542,2.40044403,1.93379056,2.13134599,2.66348386,2.66348386,1.9608618000000002,2.56898928,3.58755469,3.44244027,3.41917419,8.28642845,8.340363499999999,8.93981075,6.88657522,9.01373768,4.19564629,2.94626045,2.66076112,3.88433433,3.16448784,2.8429215,2.09278464,2.8429215,4.99038839,2.96069431,3.57849979,2.88358307,2.66472268,3.67064667,3.8439845999999998,3.89373326,3.47443104,3.92772412,3.32247806,2.2443254,2.86165261,2.25001168,2.78294635,3.85240674,3.86130404,3.23671651,4.04347897,3.45589161,3.45589161,4.072227,2.92893434,2.26858282,2.96448398,3.35912418,2.53486633,2.82670212,2.9247992000000003,3.28964305,2.66123414,2.45466399,2.65569663,3.56676507,3.39567661,3.48805022,2.70088387,2.59991026
2011-11-05,2.38887763,2.48744416,1.44185841,2.29464316,1.97081077,2.03795838,1.64871407,2.05964446,1.80120909,2.34707093,3.71510506,3.10994434,3.3405682999999997,4.74027061,3.17907429,2.22502351,1.70621502,1.6965946,2.72170138,2.72170138,1.83473194,2.05221462,2.80661678,2.45085645,2.48532891,5.18878984,4.46571255,5.07399607,3.59182811,4.75320625,3.49963856,2.42329192,2.00118804,2.86486793,2.29512143,2.40283513,1.90334225,2.40283513,3.73257923,1.80071008,2.84626365,2.14557552,2.24211669,2.91563129,2.71813202,2.97641253,2.48209882,2.9825293999999998,2.10603619,1.68870866,1.99702978,1.81216013,1.81496441,2.36015344,2.51050615,1.96067238,2.55308175,2.1719749,2.1719749,2.65208292,1.74909151,2.25762653,1.82257235,2.22014928,1.7825613,1.93707514,1.82612145,1.92895257,1.83886766,2.25384784,2.27984452,3.28236318,3.07743716,2.25521016,2.25385022,2.01286507
2011-11-06,1.66712558,1.9406122,0.767708,1.81042588,1.22398102,1.37175715,1.06868219,1.59193039,1.11301827,0.77038765,1.62498379,1.01376522,2.58947277,3.13626504,2.14976811,1.05044949,1.08077085,1.24356687,1.50043774,1.50043774,0.86935514,1.51966953,2.56258345,2.09372783,2.06883836,1.60302246,1.18775094,1.42623675,1.06066704,1.54890716,2.2101748,1.55347526,1.03499258,1.86915815,1.64118493,2.13988447,1.42015505,2.13988447,2.93292928,1.71790874,2.8710463,1.29805088,1.19444323,2.55025935,2.66790366,2.81312013,2.22407222,2.71767044,1.90416777,1.07309437,1.53766811,1.20335114,1.67001677,2.47455788,2.61740732,1.8837986,2.66138101,2.07100463,2.07100463,2.62463784,1.80465758,1.76654541,1.63668156,1.84719324,1.38623369,1.64219058,1.65132868,1.94249189,1.44517529,1.95046842,2.03151846,2.48338032,2.44746804,2.2154447999999998,1.50309277,1.43738139
2011-11-07,0.93873829,1.07823122,0.81829399,1.15485573,0.98582911,0.79347283,0.7439189,1.70876372,0.89439487,0.85664886,1.97114336,0.97155362,5.436312200000001,6.00568962,4.05324316,1.58057642,1.57650459,1.81710947,1.58079863,1.58079863,1.45442057,1.39793408,0.97669929,0.98962694,1.31017625,1.14469802,1.06071937,1.12865865,1.2831651000000002,1.11377656,2.96242142,2.3675467999999995,1.61086321,2.80843282,2.88473582,1.12644219,1.2034744,1.12644219,1.86014736,1.84012902,1.70734632,0.94909978,0.70469755,0.92520541,1.71088886,1.29361618,1.60491645,1.158499,1.75437438,0.93530029,2.05858946,1.12338555,1.41936827,1.99676692,1.65150297,1.7981081,1.98462141,1.82919919,1.82919919,1.98092663,1.58425677,1.99042881,1.94974029,2.03299022,2.16356587,2.59739733,1.60282338,2.07400751,2.43644238,2.3721981,2.03983021,2.70983815,2.71556497,1.75405407,1.42376518,1.94485247
2011-11-08,1.66719043,1.98628604,1.52236927,2.51038194,1.51283991,2.13704658,0.64372283,2.52178979,1.1988703,1.73775578,1.57342756,1.77257431,2.3328054,2.94076467,1.7955816999999998,1.04770041,1.71544266,2.04100919,0.81392843,0.81392843,0.96228909,2.43722391,1.38583601,1.53722036,1.9472083999999998,1.38309872,1.28292572,1.15118825,1.54090834,1.49499512,2.41530395,1.83576488,1.48660624,2.48467231,1.58992827,2.30324912,2.17681503,2.30324912,2.97249579,2.19497681,2.31382942,1.7758136999999998,1.9419080000000002,1.77618825,1.85152483,1.36542082,1.56296647,1.34869492,1.85493374,1.54747212,2.25225854,1.92555094,1.16063249,1.64885414,1.22778022,2.20881796,1.60079765,1.90122271,1.90122271,1.78648698,1.41549635,1.63269675,2.21502233,1.96080399,2.09975839,2.75505376,2.05968571,2.16803503,2.43667197,2.8319912,2.90767956,2.63271999,3.13211894,1.41429198,2.96400142,2.05549455
2011-11-09,2.40860105,2.20943856,1.34212363,2.08147216,1.14899933,2.01495576,1.43113804,1.51634967,1.84900892,0.69844228,1.12176192,3.20410061,2.05040383,2.64650702,2.0838871,1.50448561,1.39086294,0.98548216,0.96485549,0.96485549,1.16403615,2.1818049,2.23034382,2.10118628,2.36686397,5.32340765,1.89952898,3.60556388,1.11234748,2.03457069,3.7406137000000004,2.8471086,1.49943841,2.80750179,1.5516566,2.2044487,1.55772722,2.2044487,3.21056867,1.69564927,1.28660488,1.84713113,2.05040693,2.3567183,1.30821538,2.50208354,1.9929558,2.314749,2.09222436,1.61117554,2.24582791,1.68799686,1.6450671000000001,2.12164235,2.46450734,1.95057714,2.44462705,2.11784506,2.11784506,2.56536412,1.4308542,1.19503963,1.31611383,1.16551554,1.69964254,1.34073269,2.05212426,1.54662228,1.47903264,1.45084608,1.45352662,1.68347394,1.82842028,1.10996056,1.80384195,1.66205072
2011-11-10,1.21869504,0.95975918,0.81036204,1.36666548,0.94791156,1.48039043,1.01565659,1.44603312,1.08015585,0.64466172,1.92334664,2.18698597,1.50211608,2.14334846,1.4809736,1.30971014,1.03341186,0.8915357,1.3684001000000001,1.3684001000000001,1.09639144,1.13763225,1.26783717,1.01530635,0.98766613,5.68469381,2.93253446,4.47909117,2.4277072,3.29713726,2.73622966,1.80975759,1.41530323,2.08946562,1.87978661,1.61671102,1.18759215,1.61671102,3.37787318,2.11353493,2.42189479,1.08253348,1.05915284,1.29053891,2.28150105,1.40790033,1.61987591,1.37924635,1.67303717,1.07489598,2.19771647,1.18391836,1.12968814,1.78048456,1.58106804,1.83796406,1.87099183,1.75761688,1.75761688,2.03350258,1.84966671,3.07674766,2.27830887,2.20550513,1.96815407,2.23982024,1.89374602,2.14677238,2.80606365,3.3029325,2.9882555,2.98327136,3.15035939,1.85868657,1.23295891,0.89376992
2011-11-11,0.98078847,1.27486265,0.49636158,1.23381937,0.59865057,1.06003153,0.83324051,0.95460409,0.99060971,2.15946889,2.07242084,2.23071885,2.02779269,2.31460285,1.41961038,1.26565301,0.88862872,0.79442048,0.75521398,0.75521398,1.07683229,0.76646376,1.75686419,1.44789267,1.2217989,6.88400316,4.61752224,5.77291822,3.59897971,4.70782661,2.5533792999999996,2.01308274,1.28879833,1.72662866,1.35265911,2.10440469,0.85814482,2.10440469,3.55680752,1.68772304,2.76378226,0.70191699,0.89578056,2.2209816000000004,2.15160465,1.6831403999999999,0.91218144,1.74806213,1.48516798,1.08946526,2.06844711,1.18581522,0.86543798,1.54229069,0.77538562,1.60894835,1.39477301,1.56231534,1.56231534,1.54039907,1.68302023,2.19915438,2.37821484,2.72159553,2.02996731,2.42286134,1.58297694,1.83940899,3.11920357,1.74602592,1.38718712,0.69385004,1.03144658,1.39483988,0.67140126,0.76141459
