"ebint","ebhex","depth","area","longitude","latitude"
16601741,"0xfd528d",3.3,107604,10.2402647,60.3682192
9042268,"0x89f95c",3.7,135405,8.6588029,60.3170454
7605792,"0x740e20",2.4,57906,5.8368035,60.138518
15163901,"0xe761fd",2.7,70516,11.9129153,60.4341224
4122014,"0x3ee59e",2.4,57203,10.2697572,60.3910308
4877248,"0x4a6bc0",3,92811,7.0102182,60.2436577
8639970,"0x83d5e2",1.3,17291,11.3434068,64.5160157
2904970,"0x2c538a",1.6,26252,10.3270885,60.4174512
3677450,"0x381d0a",7.3,533644,10.685795,60.4143094
783808,"0xbf5c0",1.3,17213,12.90728,64.209402
2772342,"0x2a4d76",1.1,12855,9.8915107,60.6837249
3893568,"0x3b6940",1.4,19104,9.5857093,60.6718992
2366588,"0x241c7c",1.4,18899,9.367503,60.6654632
3946157,"0x3c36ad",3.1,93818,8.9491901,60.4919566
4695760,"0x47a6d0",2.6,65709,10.8988848,60.4719436
2054887,"0x1f5ae7",3.3,110849,11.4236938,60.4949886
6806686,"0x67dc9e",1.5,24024,9.4923881,60.4541081
9821214,"0x95dc1e",1.2,14385,13.4880475,64.5136922
8730032,"0x8535b0",1.5,22558,10.3122755,60.9378974
8071868,"0x7b2abc",4.5,198534,9.1300941,60.4641905
14473268,"0xdcd834",1.5,21678,4.8750243,60.5423498
7833498,"0x77879a",1.4,18440,12.4952596,60.5613446
13395208,"0xcc6508",2.2,46481,8.4715929,60.434413
14028914,"0xd61072",1.2,13594,10.9789001,60.5353597
16767615,"0xffda7f",5.7,324497,5.697383,60.26829
4117106,"0x3ed272",5.1,258663,5.2557902,60.338691
12699432,"0xc1c728",5.1,261647,6.0263102,60.307134
15793802,"0xf0fe8a",1,10022,9.9023954,60.7188931
1376226,"0x14ffe2",1.8,30728,8.2940274,60.6476387
11612156,"0xb12ffc",3.1,97584,10.501437,60.9119342
12341330,"0xbc5052",3.1,94745,5.3630052,60.440363
1704219,"0x1a011b",2,41589,7.4827437,60.8736529
2827568,"0x2b2530",1.1,12054,9.8117813,60.7304383
9510544,"0x911e90",4.4,192885,8.0393618,60.4538992
12788350,"0xc3227e",4.1,165141,7.7382602,60.4332405
15588859,"0xedddfb",1.9,35391,9.2947133,60.5100465
12162155,"0xb9946b",4.3,186435,11.4012082,60.5888592
7902218,"0x78940a",1.5,22184,13.520547,64.9504013
1913826,"0x1d33e2",2.7,73826,8.7738631,60.5288754
7986030,"0x79db6e",4,156459,5.3522713,60.3241417
3221076,"0x312654",3.3,106855,7.5925095,60.4937053
12681783,"0xc18237",1,10033,9.4184517,60.6291047
15253698,"0xe8c0c2",7,494063,10.1175619,60.6516134
12327771,"0xbc1b5b",4.1,166444,5.8729164,60.5776365
9071530,"0x8a6baa",4.3,182272,10.7265517,60.6981322
10164479,"0x9b18ff",5.3,281676,8.3944246,60.6134083
7584811,"0x73bc2b",7.8,605898,7.7630835,60.5829375
3836583,"0x3a8aa7",3.6,131668,6.7821706,60.5402662
13007101,"0xc678fd",3.6,126718,9.4794288,60.6801709
4372361,"0x42b789",4,162472,7.3196852,60.6079294
12619240,"0xc08de8",6,356815,12.2692083,60.8422366
14508659,"0xdd6273",1.4,20638,9.2069308,60.6863938
15249409,"0xe8b001",3,90237,6.2143786,60.5393671
15295493,"0xe96405",2.9,85119,5.8499625,60.5374898
12662794,"0xc1380a",1.9,36756,11.9908429,60.8088185
2535726,"0x26b12e",4.5,204043,9.2785438,60.741816
5637911,"0x560717",7.9,625161,6.0033103,60.5572199
2672098,"0x28c5e2",4.6,211628,5.7544892,60.5177784
14539658,"0xdddb8a",1.7,27675,9.6896364,60.9581606
5956619,"0x5ae40b",2.1,43366,9.9594576,60.9730191
9137502,"0x8b6d5e",5.6,318862,5.3949592,61.1067322
3880800,"0x3b3760",1.1,11315,9.5095019,61.7446868
11569425,"0xb08911",2.2,47436,7.7866061,60.7604232
2177971,"0x213bb3",2.4,56135,5.0175007,60.5964867
9961810,"0x980152",4.1,168529,9.4974211,61.0399477
11968226,"0xb69ee2",1.9,35224,9.9602487,60.9127525
15177479,"0xe79707",2.9,86474,5.2492405,60.6593052
9498009,"0x90ed99",1.7,30293,8.472595,60.8916645
3374151,"0x337c47",3.2,103350,7.9682147,60.8687809
6057500,"0x5c6e1c",11.4,1291120,7.8591256,60.7620483
9657346,"0x935c02",2.5,63064,11.5682468,60.9641593
11105725,"0xa975bd",1.7,27805,6.9497756,61.2028144
3922181,"0x3bd905",6.7,445834,9.3861882,60.9591421
6199898,"0x5e9a5a",3,87985,12.1129194,61.0614475
11115664,"0xa99c90",3.2,102353,7.5031498,60.891153
15282902,"0xe932d6",4.2,173628,10.1097716,61.1011514
13054010,"0xc7303a",1.7,28982,7.6708213,60.9097966
8220476,"0x7d6f3c",1.5,21228,9.905248,61.1415137
2829802,"0x2b2dea",8.6,746192,10.9396389,61.2221362
8520831,"0x82047f",3.2,105213,10.7145194,61.2245072
12369956,"0xbcc024",3.2,101355,10.639999,61.3958895
7701825,"0x758541",2.8,81068,5.5223552,60.9395033
10547325,"0xa0f07d",6.5,424048,8.9123814,61.3614531
11594287,"0xb0ea2f",1.3,16204,5.0814669,61.2583742
9825255,"0x95ebe7",1.6,24351,11.1476784,61.4795092
14506603,"0xdd5a6b",8.2,677703,9.1903474,61.6711175
5652903,"0x5641a7",1.8,31352,8.252861,61.6954899
6891809,"0x692921",1.9,34900,5.3748572,61.5223921
11383712,"0xadb3a0",6.8,457005,9.1274698,61.2485392
13023469,"0xc6b8ed",2.2,48304,10.9001998,61.310374
4051766,"0x3dd336",2.4,57870,12.3300025,61.3997936
13022729,"0xc6b609",2,40474,10.536269,61.3195279
646713,"0x9de39",1.3,17853,9.9623929,61.4875362
2777214,"0x2a607e",9.4,876816,5.8344561,61.4302789
10832888,"0xa54bf8",3.9,152740,10.1120092,61.6599743
9070205,"0x8a667d",5.3,280289,9.6354025,61.2956422
9000793,"0x895759",2.7,71539,9.9933343,61.3999171
489614,"0x7788e",4.3,182403,10.4076532,61.4123834
4620346,"0x46803a",4.9,236506,6.010248,61.3556525
10159626,"0x9b060a",2,39888,10.5339802,62.4071191
4916533,"0x4b0535",1.1,12072,7.9684547,61.5675388
16037911,"0xf4b817",2.1,43357,6.6516544,61.1307697
2191698,"0x217152",1.9,36623,11.2194521,61.9092412
10564499,"0xa13393",3.1,96317,11.0306511,61.9033941
9868132,"0x969364",3.7,139007,10.5568189,63.8569581
7544036,"0x731ce4",5.6,308178,11.9064064,63.8993276
9801196,"0x958dec",3.5,124285,4.8446865,61.0981154
8857656,"0x872838",2.5,62932,6.0914558,60.9015088
8864089,"0x874159",3.5,125175,7.6836523,60.9289547
6838719,"0x6859bf",8.5,726552,5.9504907,61.2643824
13861318,"0xd381c6",5.7,328996,5.3637089,61.7624431
8928937,"0x883ea9",1.9,36227,4.9625258,61.1698451
868745,"0xd4189",5.8,339196,5.2541137,61.2460342
14572341,"0xde5b35",3.3,110597,5.6800012,61.2840298
15179826,"0xe7a032",4.3,186731,12.1028875,61.5918475
7309591,"0x6f8917",1.1,13030,8.545129,61.4812049
1120510,"0x1118fe",7.8,600732,5.8033455,61.3775106
15810392,"0xf13f58",3.7,136090,5.8317023,61.370915
13751600,"0xd1d530",2.3,53690,5.7370174,61.3917764
9062692,"0x8a4924",3.8,143827,5.1563953,61.3575097
2334330,"0x239e7a",3.9,150652,6.1830449,61.4297443
12627742,"0xc0af1e",1.8,33185,10.9251069,63.3420322
