"ebint","ebhex","depth","area","longitude","latitude","clust30","clust30a"
11524147,"0xafd833",10.4,1091209,12.3437707,60.5013869,10,16
921072,"0xe0df0",18.3,3356476,7.6870076,60.466508,23,24
10471894,"0x9fc9d6",26,6768607,11.8570979,62.9177372,21,30
9003808,"0x896320",12.6,1592071,10.2233494,61.979025,8,16
8440047,"0x80c8ef",15.8,2482675,11.9696867,62.7132153,21,30
8604038,"0x834986",22.4,5011017,9.5658164,63.3284909,27,22
6119895,"0x5d61d7",11.7,1362305,13.1068304,64.6066159,7,6
5493024,"0x53d120",9.4,878902,12.3312842,64.6725289,7,6
8681827,"0x847963",32.6,10634233,10.1498323,63.2110006,27,22
14839827,"0xe27013",25.2,6364960,23.680939,68.7625383,14,8
14807205,"0xe1f0a5",34.3,11791617,13.4712679,65.2597095,17,20
11566960,"0xb07f70",22.7,5162986,14.9999009,66.1496492,17,20
14009531,"0xd5c4bb",31.6,9981470,15.0383934,66.8221054,5,26
4262764,"0x410b6c",33.8,11409475,16.2576202,67.1006673,5,26
5164659,"0x4ece73",33.2,11017131,15.6363152,67.2215005,5,26
9427838,"0x8fdb7e",15.1,2294344,16.2550263,67.5787803,4,23
10853135,"0xa59b0f",10.3,1055191,15.7060236,68.6177057,4,23
10235318,"0x9c2db6",18.4,3389196,23.2045437,68.9817281,14,8
14728865,"0xe0bea1",22.6,5122557,19.0990072,69.1929166,15,10
67016,"0x105c8",13.9,1921820,30.8651229,69.6659525,26,15
5210007,"0x4f7f97",16.6,2757599,30.8581756,70.3416022,26,15
2348141,"0x23d46d",27.9,7781443,7.1789378,59.3276795,9,19
10193088,"0x9b88c0",22.5,5060281,7.8314036,60.0772784,23,24
12068475,"0xb8267b",38.2,14565023,7.2603352,59.4708614,23,27
12494488,"0xbea698",7,484672,5.4549946,59.6813521,23,27
3272158,"0x31edde",15.9,2543201,12.1639771,60.1564407,10,2
7801455,"0x770a6f",18.4,3384006,6.8681932,60.0582203,23,27
4137231,"0x3f210f",14,1962196,6.9268183,60.5988964,23,24
1912144,"0x1d2d50",15.3,2349538,11.632715,60.7330852,8,16
11687652,"0xb256e4",17.3,2980829,5.1098453,60.5718792,23,27
12886048,"0xc4a020",22.9,5260288,7.9636853,61.618292,29,21
4564440,"0x45a5d8",14.1,1985185,5.2904132,60.6386167,23,27
5041397,"0x4cecf5",22.2,4911523,8.777491,60.8673998,8,24
8884765,"0x87921d",10.2,1035970,9.3940292,61.1232045,8,16
