"ebint","ebhex","depth","area","longitude","latitude"
2483819,"0x25e66b",18.8,3543569,22.2617457,67.345784
12844806,"0xc3ff06",26.7,7115270,18.266268,67.4966948
11105597,"0xa9753d",12.4,1537702,23.3699273,67.009441
2198798,"0x218d0e",14,1954962,20.6017855,67.1372719
1035896,"0xfce78",19,3602355,21.2982141,65.144867
8665782,"0x843ab6",20.7,4285556,20.1689143,66.8973396
7551558,"0x733a46",16.9,2851737,19.0799426,66.5941262
3284658,"0x321eb2",14.4,2064086,19.3475302,67.2027728
11312555,"0xac9dab",14.9,2231132,17.2820982,67.1606919
7089365,"0x6c2cd5",16.8,2826073,20.4582481,67.0759073
10239052,"0x9c3c4c",27.3,7453138,16.8415988,67.1520082
1569562,"0x17f31a",10.4,1086723,16.9231047,67.1291109
8493992,"0x819ba8",16.2,2633669,20.4522778,67.0573853
15550850,"0xed4982",19.9,3971444,17.0434059,67.3303112
13735246,"0xd1954e",11,1209859,20.6349275,67.2953534
9299461,"0x8de605",19.4,3779355,20.7724204,67.2745594
679670,"0xa5ef6",18.1,3282300,16.9956788,66.8070475
9919977,"0x975de9",24.9,6224431,16.7470207,66.7151031
7823134,"0x775f1e",17,2903203,20.1090495,66.6618185
1753122,"0x1ac022",13.8,1899455,16.857451,66.8115751
346114,"0x54802",23.4,5487734,22.6068847,66.6644344
13483587,"0xcdbe43",22.3,4966581,18.135608,66.8124674
5241285,"0x4ff9c5",19,3593965,17.0636544,66.8509901
5997878,"0x5b8536",36.7,13452375,16.5555894,66.8861788
9971503,"0x98272f",26.3,6932855,20.5708431,66.9234177
8944199,"0x887a47",17.3,2980134,18.8581029,66.9609158
12421846,"0xbd8ad6",28.8,8321751,16.8958803,67.0325398
10278736,"0x9cd750",22.3,4955096,22.8966095,66.4047503
10487037,"0xa004fd",40.1,16101628,20.1789924,66.5380268
2028083,"0x1ef233",19.5,3790693,16.7950044,66.621117
7402243,"0x70f303",22.4,4999104,17.3343968,66.7476677
850587,"0xcfa9b",41.5,17220505,19.8885448,65.5683546
5716137,"0x5738a9",41.4,17100620,17.0939647,66.6188658
15030690,"0xe559a2",15.7,2480483,17.7909408,66.5539421
7305087,"0x6f777f",17.9,3210423,16.2257997,66.6125499
6528045,"0x639c2d",26.8,7202597,16.3237541,66.5839651
11321025,"0xacbec1",63.4,40191178,16.5226478,66.471371
12088227,"0xb873a3",24.9,6213320,21.9867728,66.5804411
11367863,"0xad75b7",21.7,4697247,20.1269506,66.633653
6718435,"0x6683e3",13.6,1856426,22.2988685,66.5172456
3647663,"0x37a8af",27.3,7469741,18.2101922,66.6318108
9767811,"0x950b83",19.9,3962136,23.2143274,66.4543884
9971572,"0x982774",42,17604305,23.1595271,66.3409031
3695784,"0x3864a8",28.6,8154816,20.5768418,66.4951119
16031707,"0xf49fdb",20.1,4053272,22.8498428,65.8566444
6219209,"0x5ee5c9",24.6,6035007,22.7146338,66.223763
11762494,"0xb37b3e",17.4,3037854,18.18931,65.3553497
2767669,"0x2a3b35",25.6,6534730,21.0185608,64.6204852
7185952,"0x6da620",26.1,6809764,21.0422831,64.6554144
12065941,"0xb81c95",16,2568243,17.7158581,66.0750453
13643586,"0xd02f42",31.9,10206047,20.0510964,68.1584301
10028073,"0x990429",36.7,13464316,22.8365281,66.1833497
15671444,"0xef2094",13.1,1703212,23.3799444,66.2008007
2643751,"0x285727",16.9,2844693,23.2101728,66.1994681
9852577,"0x9656a1",19.8,3912649,19.8728115,66.3215834
15440022,"0xeb9896",31.9,10185259,19.2107514,65.6053397
16072097,"0xf53da1",16.7,2775303,20.2379202,64.866371
8968441,"0x88d8f9",24.4,5951374,20.687613,64.8200203
2192784,"0x217590",127.8,163278920,19.4108946,67.1549099
14587044,"0xde94a4",24.8,6128051,22.9207153,66.3385916
3603517,"0x36fc3d",10.8,1162579,22.2208111,66.3263775
15473384,"0xec1ae8",17.5,3056841,16.8130237,66.4715807
11060427,"0xa8c4cb",23.1,5355805,23.5272108,66.3256851
3654366,"0x37c2de",14.1,1977845,19.4334228,66.4538994
1675520,"0x199100",38.6,14916268,21.3747822,66.1381524
11162955,"0xaa554b",33.4,11148123,20.173088,68.0611022
11937375,"0xb6265f",17.2,2962723,17.2772875,66.251058
5649170,"0x563312",13.8,1913578,17.9024755,66.2597376
6802391,"0x67cbd7",17.8,3184856,21.7977862,66.1080609
12516384,"0xbefc20",12.2,1497836,17.1970258,66.2967969
1653117,"0x19397d",19.4,3768381,23.2666031,66.1307436
15806456,"0xf12ff8",30.7,9407814,21.7649825,66.1973656
11934548,"0xb61b54",18.7,3482950,17.9883902,66.3251284
2471124,"0x25b4d4",27.4,7527339,19.3219035,66.3547554
11620293,"0xb14fc5",36.3,13158913,18.3365577,66.0457115
15974961,"0xf3c231",31.4,9885591,22.473333,65.9133805
16501107,"0xfbc973",19,3601698,22.1023214,66.0085899
6491990,"0x630f56",29.8,8886587,19.0790779,66.1363805
5076165,"0x4d74c5",18.2,3315167,18.2550607,66.131219
333425,"0x51671",32.9,10824607,21.8657567,66.0316415
16327859,"0xf924b3",11.7,1370195,21.2784342,66.2030366
8622328,"0x8390f8",25.1,6305876,23.4416996,66.1189622
9451560,"0x903828",81.9,67058316,17.5670627,66.6185535
11270282,"0xabf88a",43.1,18599325,19.5034488,66.6277981
6278173,"0x5fcc1d",19.2,3673174,19.3190079,66.6034887
7374858,"0x70880a",29.5,8731811,22.91192,66.2837331
8523173,"0x820da5",49.5,24503705,17.7809547,66.4070979
1469938,"0x166df2",47.7,22794543,21.9469554,65.6379491
12189332,"0xb9fe94",14.7,2175520,20.9780013,65.8797294
15369300,"0xea8454",21.9,4801180,18.7821321,66.8301702
15620800,"0xee5ac0",14.7,2152579,20.6071716,65.5954969
2774889,"0x2a5769",12.5,1552144,20.6729161,65.7158966
978885,"0xeefc5",17.8,3167259,20.7675731,65.7130628
2292694,"0x22fbd6",29.9,8921403,17.9969691,66.1320526
8478878,"0x81609e",15.2,2316448,20.345359,67.9679844
9138489,"0x8b7139",19.5,3786022,19.0370625,65.5307874
13353691,"0xcbc2db",54.2,29423671,20.4551545,64.414946
9628632,"0x92ebd8",38.6,14905613,22.090146,65.7795343
15083656,"0xe62888",23.2,5384153,17.9844549,65.8480726
8857284,"0x8726c4",19.4,3766022,21.6749963,65.8614829
3976647,"0x3cadc7",25.1,6290117,19.7051435,65.6499624
7134763,"0x6cde2b",12.6,1583920,18.8733303,65.7787124
14909532,"0xe3805c",33.5,11205487,19.8196211,65.6338302
