"","Id","vannlnr","vnnlnr2","NO_SE_D","mrros_historical_1961_1990","mrros_rcp45_2071_2100","mrros_rcp85_2071_2100","tas_historical_1961_1990","tas_rcp45_2071_2100","tas_rcp85_2071_2100","pr_historical_1961_1990","pr_rcp45_2071_2100","pr_rcp85_2071_2100","tasmin_historical_1961_1990","tasmin_rcp45_2071_2100","tasmin_rcp85_2071_2100","tasmax_historical_1961_1990","tasmax_rcp45_2071_2100","tasmax_rcp85_2071_2100","trange_historical_1961_1990","trange_rcp45_2071_2100","trange_rcp85_2071_2100","tmin_month_historical_1961_1990","tmax_month_historical_1961_1990"
"601",0,3042,30429,1570.87704918033,4.88773690199835e-05,4.2551675444102e-05,4.36635487243804e-05,267.279785088111,269.944717740314,271.499252113475,5.72713850672606e-05,5.61269684179951e-05,6.00365755092087e-05,258.831764809183,261.52215175098,263.553657640061,277.593890404153,281.17711076354,283.251475742829,18.7621255949703,19.6549590125596,19.6978181027674,"Jan","Jun"
"602",0,2950,29509,1403.03,4.97912951917746e-05,4.26164134178406e-05,4.34064276834135e-05,268.316116738253,270.932598523641,272.478275443623,6.18745433306287e-05,6.06312728289134e-05,6.56698751060032e-05,259.781778360545,262.507330459722,264.659950192041,278.929912982758,282.233178367461,284.164580387211,19.1481346222128,19.7258479077389,19.5046301951701,"Jan","Jun"
"603",0,1600,1600,1164.07398268398,5.81193041804817e-05,5.00962405943517e-05,5.16457356078512e-05,269.212330828617,271.817930246455,273.380813486464,7.41179608027201e-05,7.29936799851665e-05,8.02155391645177e-05,260.608285939231,263.217903022427,265.404512609957,280.77922630302,283.736573021788,285.498243654897,20.1709403637896,20.5186699993611,20.0937310449397,"Jan","Jun"
"604",0,2840,28406,778.177777777778,4.20068758923712e-05,2.6243576413163e-05,2.30360241270636e-05,272.380372177332,274.958530659076,276.497410021108,8.39861785865317e-05,8.38678562675067e-05,9.78420259549842e-05,263.745280803932,266.463724716991,268.828473086788,283.036934691709,285.238483369858,286.816188815159,19.2916538877779,18.7747586528664,17.9877157283715,"Jan","Jun"
"605",0,2851,28517,299.436363636364,1.4113904704928e-05,9.6427938963902e-06,8.81713301982602e-06,276.615299461063,279.073841952163,280.525799554506,6.06711135780859e-05,6.18367857791286e-05,8.77171381220046e-05,268.875339186563,271.473580358673,273.732552680738,285.068635287687,287.283613609116,288.554255503528,16.193296101124,15.8100332504427,14.8217028227896,"Jan","Jun"
"606",0,1743,1743,186.660792682927,9.73627109730686e-06,5.62703295739287e-06,4.54706126561699e-06,277.374801878523,279.833375665207,281.289595376389,5.8306395828806e-05,5.99506287923482e-05,8.09366350152182e-05,269.480172919831,272.210098059537,274.492663967359,285.782930283354,287.907708171963,289.120449990062,16.3027573635231,15.6976101124259,14.6277860227029,"Jan","Jun"
"607",0,2856,28562,101.830333333333,1.10772502716772e-05,1.58336487472088e-06,1.77463709567353e-07,276.86661912267,279.306710638277,280.860609866875,6.75790056787291e-05,6.87762348456107e-05,8.05571274219506e-05,268.245366700824,270.327239152262,272.865101756213,287.861308258443,289.406558736252,290.707340912161,19.6159415576192,19.0793195839903,17.8422391559479,"Feb","Jul"
"608",0,1643,1643,173.533650793651,1.04629341567272e-05,4.13927189660383e-06,2.47326920993881e-06,276.807008021448,279.193237188671,280.701438967917,6.50697473474597e-05,6.59890953582434e-05,7.75387588012284e-05,268.13123272784,270.736689146501,273.18575877501,287.057209952406,288.809808045645,290.148148438003,18.9259772245655,18.0731188991438,16.9623896629925,"Jan","Jun"
"609",0,2861,28618,908.512857142857,5.21894182101585e-05,3.74429657450889e-05,3.16938328643866e-05,271.238495370649,273.877170572454,275.471490010138,8.24616997543376e-05,8.15373075969097e-05,9.23690618602935e-05,262.656070866339,265.044982312227,267.486797558152,282.559419031269,284.71762116508,286.245139895937,19.9033481649302,19.6726388528529,18.7583423377852,"Jan","Jun"
"610",0,2851,28512,559.682,3.95033090886009e-05,2.45378063748793e-05,1.78457758099491e-05,273.407035071082,276.009636473611,277.612790142639,7.90972684437456e-05,7.92439158242621e-05,9.10534312216985e-05,264.489704580469,266.843727981014,269.315111640346,285.109731985899,286.905470082543,288.301017016059,20.6200274054306,20.0617421015294,18.9859053757132,"Jan","Jun"
"611",0,2956,29566,992.0005,5.58794577805827e-05,4.48120539922915e-05,4.02178496458378e-05,271.14101503973,273.700183820061,275.215310556715,8.75971111329708e-05,8.75399124073969e-05,9.83719039121626e-05,265.917053365832,265.64047321665,267.715818766329,282.306744271732,284.271034296126,285.779508199209,16.3896909059001,18.6305610794766,18.0636894328803,"Feb","Jul"
"612",0,2951,29516,1367.99823529412,7.77727162506087e-05,7.32080271286065e-05,7.82385853616751e-05,268.895586021101,271.433735063999,272.905574675411,8.41575151802596e-05,8.38022924024837e-05,9.31649230819278e-05,261.475526429594,263.884144639201,265.835903985523,279.488215286189,281.896796236411,283.489339109125,18.0126888565952,18.0126515972103,17.6534351236019,"Jan","Jun"
"613",0,2944,29446,856.226563981043,5.11078315657056e-05,4.43483991516653e-05,4.36557686590003e-05,272.05504238022,274.55595945339,276.073477747935,7.71895939819862e-05,7.8171672227676e-05,8.65911186165316e-05,263.950694693334,266.372905225889,268.383572748622,283.452022387788,285.191314466571,286.381813837422,19.5013276944539,18.8184092406823,17.9982410888,"Jan","Jun"
"614",0,1735,1735,1243.30220858896,8.05784672438024e-05,7.88096022337096e-05,8.62795924574964e-05,269.473116323612,272.001801818717,273.497728739602,8.33792708974397e-05,8.34586167575261e-05,9.25965735824875e-05,261.701881065621,264.178761433571,266.169723270029,280.409874574516,282.709900641075,284.294775964839,18.7079935088946,18.531139207505,18.1250526948107,"Jan","Jun"
"615",0,1734,1734,755.358407022107,4.83490467825809e-05,4.00943270078578e-05,3.71541626095789e-05,272.61513320959,275.137218944208,276.673045715667,7.95003246268758e-05,8.03520957102668e-05,9.00836385845012e-05,264.407600692036,266.795647165398,268.898625935589,284.109335378693,285.792070058056,287.211100549146,19.7017346866566,18.9964228926577,18.3124746135576,"Jan","Jun"
