"","mrros_historical_1961_1990","mrros_rcp45_2071_2100","mrros_rcp85_2071_2100","tas_historical_1961_1990","tas_rcp45_2071_2100","tas_rcp85_2071_2100","pr_historical_1961_1990","pr_rcp45_2071_2100","pr_rcp85_2071_2100"
"65",1.55674176205521e-05,1.4876644140211e-05,1.39754782472854e-05,271.049205016679,273.698893801916,275.30931954669,3.07382978257613e-05,3.20422821641912e-05,3.31385937494769e-05
"66",1.18462351787558e-05,1.12663272966844e-05,9.56533527523159e-06,271.642936549069,274.331364025141,275.96960050502,2.71104117831395e-05,2.84377043273132e-05,3.0226041962434e-05
"67",1.574626185855e-05,1.47472870504808e-05,1.29593844553588e-05,270.693465141062,273.37849891631,275.010407269911,2.98478186624173e-05,3.08257146100393e-05,3.20641308194075e-05
"68",1.26769647141386e-05,1.21165088982298e-05,1.07952662088514e-05,271.730451285353,274.376106888987,276.010590955774,2.84510419122465e-05,2.95681018305658e-05,3.05722009517663e-05
"69",1.27634846336971e-05,1.18808503702391e-05,1.02355927012544e-05,271.463442716779,274.147471725228,275.810640960541,2.71486377498857e-05,2.78705319154035e-05,2.9547000174042e-05
"70",1.05955104932843e-05,1.02054229817209e-05,8.80983305465075e-06,271.829773183153,274.470910086127,276.107394554418,2.63762219806864e-05,2.75989192790607e-05,2.86660785433642e-05
"71",1.02037833232065e-05,9.84538765900286e-06,8.53222791758203e-06,272.037042972468,274.670570363168,276.314913378211,2.61816955388523e-05,2.7481225335875e-05,2.84791798184934e-05
"72",1.40481095728925e-05,1.31953078487765e-05,1.16617656738935e-05,271.063368711678,273.728020201783,275.352039969034,2.92744442058666e-05,3.00882813501316e-05,3.15208000334154e-05
"73",1.36506739170504e-05,1.26611170967083e-05,1.08885031226711e-05,271.407029167534,274.083495039385,275.726018623826,2.85935924392359e-05,2.93870406775462e-05,3.08519800557494e-05
"74",1.53917099740707e-05,1.43150515034124e-05,1.22661593502817e-05,270.630492163897,273.29195646376,274.926443291363,2.95156910587444e-05,3.03319579836764e-05,3.14147116664015e-05
"75",1.87775136252353e-05,1.74578452524404e-05,1.55639994494015e-05,269.821221642394,272.493430352328,274.116246440433,3.16170224341171e-05,3.21541576251513e-05,3.36835223483915e-05
"76",1.69423753595881e-05,1.41577144934714e-05,1.14874988313049e-05,271.048835627516,273.700404375384,275.333442971382,3.28077861087614e-05,3.25496466045546e-05,3.3723106243355e-05
"77",1.54657010705605e-05,1.46676679962741e-05,1.35237775892897e-05,270.74037631867,273.407250475146,275.03574378068,2.97773252376128e-05,3.06257412490866e-05,3.23259369954684e-05
"78",1.62469599808617e-05,1.4825838924756e-05,1.3572617189604e-05,270.343164786004,273.000064546575,274.643211888617,3.04454377752172e-05,3.09559502344662e-05,3.25416708529096e-05
"79",1.34118877943543e-05,1.2092015305691e-05,9.73099834426448e-06,271.238343131649,273.894385300288,275.527824115534,2.93990099662701e-05,3.00070610230713e-05,3.04100134804674e-05
"80",1.97541024226552e-05,1.86454618610249e-05,1.76641256758985e-05,271.174859581468,273.776177500236,275.338064180349,3.90273209435501e-05,4.05611066930086e-05,4.22219102795175e-05
"81",2.56757735944774e-05,2.20068729558762e-05,2.09792526836743e-05,268.832279430391,271.559443363727,273.18799055343,3.74635753598761e-05,3.63918790201338e-05,3.78450146043208e-05
"82",4.6592015763632e-05,3.99385248035164e-05,3.9304200573449e-05,266.622884721055,269.36371855472,270.985113277234,5.14211364782191e-05,4.92913406212281e-05,5.15590727108389e-05
"83",2.45656260306272e-05,1.97416066209168e-05,1.79670142514092e-05,270.035950707519,272.731084406208,274.387739298915,4.02335955314822e-05,3.90457099877785e-05,4.05027046569255e-05
"84",3.97054381927267e-05,3.39569059611262e-05,3.30636332793038e-05,267.078053623006,269.80763095517,271.373443103277,4.62053525403332e-05,4.4510203950993e-05,4.65195511810913e-05
"85",3.52469320059428e-05,2.98181695778665e-05,2.86908215112132e-05,267.918145952484,270.639733121012,272.216584068276,4.42388495323436e-05,4.27937328472111e-05,4.4593882833886e-05
"86",3.99805416231543e-05,3.48105104588035e-05,3.43460082658864e-05,266.595439877622,269.350835503935,270.921084396795,4.52164392024453e-05,4.3362218178922e-05,4.48766359873852e-05
