"055-001","30.570520401000976562,20.825700759887695312"
"056-001","30.552310943603515625,21.304880142211914062"
"057-001","30.531240463256835938,21.783979415893554688"
"058-001","30.507329940795898438,22.262739181518554688"
"059-001","30.480590820312500000,22.741199493408203125"
"060-001","30.451009750366210938,23.219209671020507812"
"061-001","30.418600082397460938,23.696880340576171875"
"062-001","30.383359909057617188,24.174160003662109375"
"063-001","30.345310211181640625,24.650920867919921875"
"064-001","30.304439544677734375,25.127170562744140625"
"065-001","30.260759353637695312,25.602899551391601562"
"066-001","30.214279174804687500,26.078029632568359375"
"067-001","30.165000915527343750,26.552560806274414062"
"068-001","30.112939834594726562,27.026430130004882812"
"069-001","30.058090209960937500,27.499679565429687500"
"070-001","30.000469207763671875,27.972200393676757812"
"071-001","29.940080642700195312,28.443950653076171875"
"072-001","29.876939773559570312,28.914930343627929688"
"073-001","29.811050415039062500,29.385139465332031250"
"074-001","29.742420196533203125,29.854499816894531250"
"075-001","29.671060562133789062,30.322959899902343750"
"076-001","29.596979141235351562,30.790569305419921875"
"077-001","29.520189285278320312,31.257230758666992188"
"078-001","29.440710067749023438,31.722930908203125000"
"079-001","29.358530044555664062,32.187641143798828125"
"080-001","29.273689270019531250,32.651340484619140625"
"081-001","29.186170578002929688,33.113990783691406250"
"082-001","29.096000671386718750,33.575588226318359375"
"083-001","29.003200531005859375,34.036079406738281250"
"084-001","28.907760620117187500,34.495449066162109375"
"000-002","27.690319061279296875,-5.053150177001953125"
"001-002","27.822530746459960938,-4.609500885009765625"
"002-002","27.952299118041992188,-4.164377212524414062"
"003-002","28.079610824584960938,-3.717835903167724609"
"004-002","28.204460144042968750,-3.269856929779052734"
"005-002","28.326820373535156250,-2.820477962493896484"
"006-002","28.446670532226562500,-2.369728088378906250"
"007-002","28.564010620117187500,-1.917610049247741699"
"008-002","28.678819656372070312,-1.464159011840820312"
"009-002","28.791080474853515625,-1.009379982948303223"
"010-002","28.900789260864257812,-0.553296983242034912"
"011-002","29.007909774780273438,-0.095951080322265625"
"012-002","29.112449645996093750,0.362634688615798950"
"013-002","29.214389801025390625,0.822471618652343750"
"014-002","29.313709259033203125,1.283501029014587402"
"015-002","29.410400390625000000,1.745718002319335938"
"016-002","29.504449844360351562,2.209083080291748047"
