"lakenames","model2a","model2b","model3b","maximumdepth","meandepthbyDM","volumebyDM","surfacearea","perimeterfromshp"
"SW3-1406",0.0382545832745696,3.21127316548545,3.11677349054864,11,3.03162414800395,1607184.65617192,530139.812097124,5178.59
"SW3-1407",-0.0130298050766783,0.734929637752762,0.763169216705777,6.7,3.66431706082925,3096454.41180371,845029.062824321,7925.98
"SW3-1411",-0.0153335754469882,0.451324951071165,0.485687804586854,4.3,2.66559570404623,1042443.68542099,391073.441421973,5836.23
"SW3-1453",0.0433343029233481,2.18026738329917,2.08885622888663,9,3.21461366117768,201876.155432733,62799.5077202451,1953.61
"SW3-1459",-0.01623531918953,3.06049718239399,3.10473883164993,15,3.78144172254138,9128173.97594692,2413940.14392272,19352
"SW3-1462",0.0713598038587504,2.37480685097242,2.26584303615321,8,3.0319401814853,9643718.5009459,3180708.69598146,19693.9
"SW3-1468",0.125333823964615,1.33257255466354,1.19972437640063,4.2,2.38845688025983,32413637.8047617,13570953.7285997,35958.7
"SW3-1469",NA,NA,NA,NA,NA,NA,NA,NA
"SW3-1472",-0.0829473317959357,0.899395350078792,1.04266911680548,6.1,2.55429320886036,10978408.2038836,4298021.92082006,27718.2
"SW3-1502",NA,NA,NA,NA,NA,NA,NA,NA
"SW3-1512",0.0674393675382862,1.86247297154326,1.74699842093456,2.5,1.10697838426181,597989.92730522,540200.184400159,5560.87
"SW3-1549",-0.0366524267595132,1.23797506811486,1.28705807077702,8.5,3.59648534685112,35624.8574786319,9905.46437505245,726.203
"SW3-1555",0.0494223543398487,1.607426863379,1.51122315097604,12.5,5.4797212814564,209028.967219486,38145.9122614226,1938.59
"SW3-1580",-0.00451837609218969,1.73688898541874,1.74953366675506,15,5.60159654532224,7481888.81266131,1335670.7774517,11980.9
"SW3-1590",-0.0298518899967083,0.807279540021752,0.844871210479154,6.6,3.35085998319605,2464227.96835991,735401.652327332,6975.1
"SW3-1598",-0.136901694736414,2.69324741115893,2.89348014546347,134,29.2878395313707,9127299746.53566,311641278.174829,286275
"SW3-2408",-0.0524366337518875,4.41007503591003,4.64384882706921,10,1.89733055545556,9085150.94986263,4788385.93714696,29055.4
"SW3-2802",-0.0880542545084525,1.02088962330927,1.1455913647799,3.4,1.35317207111395,338144.529380883,249890.266433387,6968.39
"SW3-3649",0.00030859513265597,2.68002749902566,2.67944580517277,120,35.0249859656642,55219729701.033,1576581065.73308,539999
"SW3-4016",-0.0342547884156223,1.71493899164686,1.79007134134101,16,5.57817786023246,4101108.57220279,735205.774172263,9306.93
"SW3-4071",-0.0913535069547518,0.969340855453916,1.1243333371131,18,7.26465163113247,559055.292897062,76955.5542761673,2423.21
"SW3-4263",0.026173594462125,1.14073524191639,1.11001238882826,6.5,3.2442144617025,179015.042889112,55179.7808074527,2543.06
"SW3-4558",0.0737942087774577,2.06298997620753,1.87288235308713,13,5.29182036698293,149246519.767131,28203247.5437601,65951.4
"SW3-4676",0.0134454467256561,3.88230563065809,3.85811016518603,8,2.34126161802854,6359655.44788881,2716336.95223004,14387.2
"SW3-4696",-0.0189633335426675,1.35529837666422,1.37791681122115,5.3,2.35424513077189,277377.796012963,117820.269600396,2966.69
"SW3-5085",-0.0412175843751953,2.10854392920397,2.15963658006486,4.5,1.47413491620941,1039969.92430088,705478.116599433,6435.54
"SW3-5131",0.1478398023808,1.93807601764769,1.72870645432023,3.4,1.70075177371665,224483.891190505,131990.978730506,3482.07
"SW3-5172",0.127675072594038,2.51195714974494,2.20918797244185,3.3,1.3713645553582,1295874.15335027,944952.345666971,9212.42
"SW3-5194",-0.00777997346159186,2.67086659866579,2.68436778767429,6,1.69069851269577,424796.105419368,251254.793346948,5369.12
"SW3-5279",-0.499771924279783,1.40208692513369,1.83962856383954,8.2,1.58719839386546,420990.624218483,265241.33709158,5382.58
"SW3-5299",NA,NA,NA,NA,NA,NA,NA,NA
"SW3-5639",-0.122315175790559,1.40426161442702,1.56986169827252,8.8,2.88479158180804,240489.97310266,83364.7652812176,2680.05
"SW3-5652",0.0275636613504303,2.09251522248833,2.04130242398568,9.7,3.43765236835496,89118.4366793072,25924.2142980134,1512.66
"SW3-5671",-0.101256143004111,1.33100764367918,1.49876613066707,9,3.23270120001732,367017.902910236,113532.887885917,2679.33
"SW3-5673",0.0150446927198085,1.75881799081918,1.73045913370278,6,2.28941368916486,672815.186574825,293881.0009563,5328.96
"SW3-5675",-0.0207117856482721,1.05826841249808,1.08701174080097,6.5,3.0037879374614,410451.613025604,136644.670519747,3708.81
"SW3-5676",-0.0718113706378326,1.75125465927683,1.85996473279383,15,4.69653112340036,1057296.77376042,225122.914334042,3873.58
"SW3-5677",-0.198778405566426,0.838140925322319,1.12134700099606,5.5,1.86403677953187,171268.466201321,91880.4114178118,2329.9
"SW3-5678",-0.0430160111209066,1.49251025393069,1.57882403858012,10,3.67405071440256,1474179.60548089,401240.951765307,9408.54
"SW3-5679",0.00522841632675128,1.87641802259157,1.86746339071495,5.8,2.06483929839688,451419.711198378,218622.200550356,4691.01
"SW3-5681",-0.0924354948046936,1.67934812444339,1.8151269612535,21.5,6.81651362099532,2268189.75074164,332749.243507042,5794.26
"SW3-5683",-0.0934640466669536,2.308468213973,2.45371886781222,26,6.72052089767682,2117849.03581823,315131.679234915,5766.5
"SW3-5685",0.0373649538629294,1.47896783125175,1.39701383562715,4,1.82465849476885,115693.936310691,63405.8025884715,2336.04
"SW3-5710",-0.117704731665864,0.277046278867444,0.40676820488243,5.5,2.93591050390559,129476.887763983,44101.1017167392,1578.74
"SW3-5712",-0.150296702022142,1.14161876812651,1.32160983634952,7.5,2.70331582473308,212312.06058904,78537.6457484406,2528.07
"SW3-5739",0.0255303627532127,1.88470028140494,1.840006341431,7,2.75888293951988,855997.376397812,310269.55299045,5358.59
"SW3-5740",-0.00205356395839952,0.504547573536344,0.507442274915362,6.5,4.28545344009912,244296.756044912,57006.0460251463,1901.52
"SW3-5741",-0.0320227435345155,0.774612812038012,0.822374153199265,9,4.62255791487228,308754.743073151,66793.0502460091,2360.26
"SW3-5747",-0.0504806424428686,1.27836650961253,1.34842235623615,6.5,2.55601267734489,271601.826721299,106259.968555176,2639.52
"SW3-5748",-0.233136438791096,1.03866539966029,1.33496009141177,14.5,4.38134021432164,1162302.13128148,265284.61028481,4299.68
"SW3-5749",-0.0684939022625996,1.74584786623874,1.87495710255118,6,2.00756563208249,387340.656721598,192940.470055667,4367.79
"SW3-5750",0.0369007316944753,1.65713482598029,1.60840924511412,14,5.57808890861862,338361.730080246,60659.0779787408,2119.11
"SW3-5751",0.0120110975669912,1.62920620673958,1.59887288527326,3,1.22373944784095,644617.174115733,526760.1491911,9520.26
"SW3-5752",-0.0742397495355019,0.913648283671261,1.02980582737408,6.7,2.94040079599883,437817.108791533,148897.085522251,3144.2
"SW3-5753",-0.255958367505052,1.3942167581719,1.80567762453801,22,5.38716792706599,1369878.14097714,254285.398102155,4458.42
"SW3-5754",0.0101133057676434,1.5266257608218,1.51084297407079,3.5,1.43825198249068,145075.557546226,100869.360384953,3155.73
