"","lakenames","bmodel1","bmodel2"
"214","SW3-5763",0.556787960121296,1.14162707385844
"215","SW3-5764",0.405981681645587,0.829705600860708
"216","SW3-5765",0.572077094718328,1.78454385258263
"217","SW3-5766",0.380895501360572,0.836231848946521
"218","SW3-5767",0.455583992319449,1.3346020568918
"219","SW3-5770",0.164852277347181,0.447568299802147
"220","SW3-5771",0.584095327464071,1.54860092086699
"221","SW3-5772",0.44015782578263,0.3335880099231
"222","SW3-5773",0.433438078815074,1.25883421843162
"223","SW3-5774",0.550784594085397,1.09583492087592
"224","SW3-5775",0.515824891279147,1.10808375996841
"225","SW3-5776",0.55352564282049,1.51036285881871
"226","SW3-5778",0.371536409611914,1.25193822441544
"227","SW3-5786",0.541843462980677,2.20722985749227
"228","SW3-5788",0.418628751718452,0.882990617831365
"229","SW3-5789",0.474835035544043,1.42614406498676
"230","SW3-5792",0.806541600499387,2.69134066319907
"231","SW3-5793",0.693082190656523,1.94621983644936
"232","SW3-5794",0.357730081246159,1.02315471602475
"233","SW3-5795",0.409975395288125,1.20096173703019
"234","SW3-5797",0.36670679885486,1.24971725014869
"235","SW3-5798",0.409059098145731,0.841028063510876
"236","SW3-5799",0.31544335849548,1.57575373556009
"237","SW3-5800",0.532141148367157,1.41763988770977
"238","SW3-5801",0.297815100967209,0.656517852491994
"239","SW3-5802",0.351976309155228,1.07042229497434
"240","SW3-5828",0.378975908144377,1.18801085381432
"241","SW3-5832",0.301258897589987,0.75284718886297
"242","SW3-5837",0.666447495893199,1.55670230190799
"243","SW3-5846",0.341340604764494,0.47449545100763
"244","SW3-5848",0.455876614874659,1.05870910585515
"245","SW3-5849",0.210739457767963,0.516876525740603
"246","SW3-5850",0.490334511251862,0.976121147565748
"247","SW3-5851",0.488889496803645,1.19039752026957
"248","SW3-5852",0.281368781753808,1.1792369605863
"249","SW3-5854",0.681867742756915,1.12040921307982
"250","SW3-5855",0.366293074946878,1.01271129361999
"251","SW3-5856",NA,NA
"252","SW3-5857",0.26907733937788,0.54988087711327
"253","SW3-5858",0.569916769052414,0.932874710182675
"254","SW3-5859",0.344811496200097,0.663212798307524
"255","SW3-5860",0.851230068234055,1.27382889250988
"256","SW3-5861",0.264720130532158,0.870540357224222
"257","SW3-5862",0.566150632323044,0.800548525154315
"258","SW3-5864",0.334804228432092,0.71860241922018
"259","SW3-5865",0.515000219426161,0.713875415676361
"260","SW3-5867",0.388985207456088,1.17260187789872
"261","SW3-5868",0.460886102018075,0.726086919279504
"262","SW3-5869",0.512692507642837,1.41687998808068
"263","SW3-5870",0.306952408441459,0.893174057218013
"264","SW3-5871",0.474254021755655,0.914498647409458
"265","SW3-5872",0.314341631428283,0.960334701916547
"266","SW3-5873",0.4073590917909,1.32072571627229
"267","SW3-5874",0.44054530390651,1.36403871356914
"268","SW3-5875",0.525865081558608,1.11332189041074
"269","SW3-5877",0.55748183600057,1.11529019841575
"270","SW3-5878",0.505471677426544,1.57191480275574
"271","SW3-5879",0.350947697352124,0.756182119616764
"272","SW3-5881",0.464379380655715,1.28442457820101
"273","SW3-5882",0.197365175652734,0.554741024380497
"274","SW3-5883",0.472650823161034,1.59396720751227
"275","SW3-5888",0.518666768528302,0.812724611116937
"276","SW3-5890",0.279537916619752,1.09411307070573
"277","SW3-5891",0.342127534339777,0.260006268867416
"278","SW3-5892",0.399892895289732,0.797256233357941
"279","SW3-5895",0.366254796680096,0.87883242777979
"280","SW3-5896",0.455231196130574,0.884443645196045
"281","SW3-5897",0.534113445010041,1.33999577993921
"282","SW3-5905",0.578062219898245,0.782077022813349
"283","SW3-5907",0.516740444711711,0.924879886932054
"284","SW3-5908",NA,NA
"285","SW3-5913",0.355758745536953,1.1261247917051
"286","SW3-5916",0.28102909885427,1.07613881108306
"287","SW3-5918",0.329747200451675,0.951083682756461
"288","SW3-5925",0.371746131244815,0.889578749118268
"289","SW3-5927",0.475354159125951,1.1243839480267
