"lakeid","d1","d2","dm","area","fractionalarea","cumsumarea","cumsumfraction","intervals.string","oneminusZdmdivZmaxdm"
"SW0-0500",10,20,15,3192663.27164225,0.246722872987451,3347047.50279125,0.258653389240562,"10-20",0.262899262899263
"SW0-0500",20,20.7,20.35,154384.231149001,0.0119305162531116,154384.231149001,0.0119305162531116,"20-20.7",0
"SW0-0620",0,10,5,8023225.11818891,0.688836372045424,11647505.0444343,1,"0-10",0.761904761904762
"SW0-0620",10,20,15,3523394.5535313,0.302502084359682,3624279.92624541,0.311163627954576,"10-20",0.285714285714286
"SW0-0620",20,22,21,100885.372714116,0.00866154359489401,100885.372714116,0.00866154359489401,"20-22",0
"SW0-0621",0,10,5,11754069.4049076,0.723041941901094,16256414.356825,1,"0-10",0.787234042553192
"SW0-0621",10,20,15,3807028.59516801,0.234186242525843,4502344.95191743,0.276958058098907,"10-20",0.361702127659574
"SW0-0621",20,27,23.5,695316.356749421,0.0427718155730636,695316.356749421,0.0427718155730636,"20-27",0
"SW1-0115",0,2,1,219240.138644351,0.171939085764804,1275103.55001102,1,"0-2",0.894736842105263
"SW1-0115",2,4,3,343535.848110215,0.269417999900672,1055863.41136667,0.828060914235196,"2-4",0.684210526315789
"SW1-0115",4,6,5,424236.695733844,0.332707642238293,712327.563256453,0.558642914334524,"4-6",0.473684210526316
"SW1-0115",6,8,7,263449.526106901,0.206610299300495,288090.867522609,0.225935272096231,"6-8",0.263157894736842
"SW1-0115",8,11,9.5,24641.3414157087,0.0193249727957355,24641.3414157087,0.0193249727957355,"8-11",0
"SW1-0118",0,0.5,0.25,3372317.99096562,0.502550625783867,6710404.52035167,1,"0-0.5",0.642857142857143
"SW1-0118",0.5,0.9,0.7,3338086.52938604,0.497449374216133,3338086.52938604,0.497449374216133,"0.5-0.9",0
"SW1-0197",0,5,2.5,6525490.28611787,0.287967283649427,21542133.066041,0.950645740173629,"0-5",0.954545454545455
"SW1-0197",5,10,7.5,5170383.13961053,0.228166945755461,15016642.7799232,0.662678456524201,"5-10",0.863636363636364
"SW1-0197",10,15,12.5,4431294.56151526,0.195551261587914,9846259.64031263,0.43451151076874,"10-15",0.772727272727273
"SW1-0197",15,20,17.5,3393884.94351735,0.149770788914133,5414965.07879737,0.238960249180826,"15-20",0.681818181818182
"SW1-0197",20,30,25,1858860.37709628,0.0820307670390264,2021080.13528002,0.0891894602666935,"20-30",0.545454545454545
"SW1-0197",30,40,35,125379.424275652,0.0055329439859864,162219.758183743,0.00715869322766712,"30-40",0.363636363636364
"SW1-0197",40,50,45,27032.5256784632,0.00119293457632922,36840.3339080917,0.00162574924168072,"40-50",0.181818181818182
"SW1-0197",50,60,55,9807.80822962847,0.000432814665351506,9807.80822962847,0.000432814665351506,"50-60",0
"SW1-0333",0,2,1,463083.170290768,0.303452329335671,1526049.15343562,1,"0-2",0.918367346938776
"SW1-0333",2,4,3,412025.776545684,0.269995088702145,1062965.98314485,0.696547670664329,"2-4",0.755102040816326
"SW1-0333",4,6,5,365829.722193108,0.23972342002845,650940.206599169,0.426552581962184,"4-6",0.591836734693878
"SW1-0333",6,8,7,128324.600577451,0.0840894281082307,285110.484406061,0.186829161933734,"6-8",0.428571428571429
"SW1-0333",8,10,9,72090.5740363891,0.0472400078818499,156785.88382861,0.102739733825503,"8-10",0.26530612244898
"SW1-0333",10,12,11,64002.2831306495,0.0419398569086455,84695.3097922212,0.0554997259436533,"10-12",0.102040816326531
"SW1-0333",12,12.5,12.25,20693.0266615716,0.0135598690350079,20693.0266615716,0.0135598690350079,"12-12.5",0
"SW1-0334",0,2,1,791246.792715234,0.229231749149631,3412665.48969248,0.988681769919452,"0-2",0.969230769230769
"SW1-0334",2,5,3.5,890009.02279876,0.257844109996334,2621418.69697724,0.759450020769822,"2-5",0.892307692307692
"SW1-0334",5,10,7.5,655197.71718891,0.189817033235182,1731409.67417848,0.501605910773488,"5-10",0.769230769230769
"SW1-0334",10,15,12.5,605605.096391282,0.175449577575307,1076211.95698957,0.311788877538306,"10-15",0.615384615384615
"SW1-0334",15,20,17.5,307941.162225111,0.089213494325578,470606.860598292,0.136339299962999,"15-20",0.461538461538462
"SW1-0334",20,25,22.5,117226.344497085,0.0339615910521045,162665.698373181,0.0471258056374207,"20-25",0.307692307692308
"SW1-0334",25,30,27.5,35825.5231602256,0.0103789960525941,45439.353876096,0.0131642145853162,"25-30",0.153846153846154
"SW1-0334",30,34,32,8017.5947697637,0.00232277374134938,9613.83071587038,0.00278521853272213,"30-34",0.0153846153846153
"SW1-0334",30,35,32.5,1596.23594610669,0.000462444791372747,1596.23594610669,0.000462444791372747,"30-35",0
"SW1-0335",0,2,1,836791.319041947,0.704917792504909,1187076.46187852,1,"0-2",0.856115107913669
"SW1-0335",2,4,3,238300.665208566,0.200745843137568,350285.142836577,0.295082207495091,"2-4",0.568345323741007
"SW1-0335",4,6,5,78557.4324489704,0.0661772303400363,111984.477628011,0.0943363643575227,"4-6",0.280575539568345
